75	0.830729	0.534722	0.285976	0.126157	0.050154	0.009838	0.014082	0.012828	0.010802	-0.000579	-0.012346
150	0.824074	0.517843	0.274788	0.121046	0.051698	0.011863	-0.007330	-0.014950	0.008970	-0.000482	0.001833
225	0.845004	0.572242	0.329475	0.164641	0.070795	0.018422	0.006655	-0.005787	-0.006559	0.000386	-0.004437
300	0.819830	0.512442	0.260899	0.111593	0.036651	0.009838	-0.000289	-0.008005	-0.008005	-0.001640	0.000772
375	0.825714	0.535976	0.290027	0.138021	0.042438	0.014564	-0.001640	-0.008970	-0.003472	0.000868	0.007427
450	0.823206	0.515336	0.251833	0.108603	0.046103	0.013310	0.000868	0.004630	0.003086	0.006076	0.012587
525	0.824942	0.518615	0.268326	0.117959	0.055073	0.025559	0.013021	0.013117	0.000965	-0.003279	0.001688
600	0.834105	0.549769	0.312693	0.149498	0.075424	0.033854	0.009742	-0.003569	0.002990	-0.001061	0.002701
675	0.833623	0.534529	0.279996	0.128376	0.042824	0.010320	-0.010802	-0.008005	-0.003183	-0.004919	-0.004340
750	0.822627	0.515818	0.271894	0.115837	0.044174	0.014371	-0.001640	-0.002797	0.005594	0.008102	-0.005498
825	0.823785	0.523534	0.271026	0.118731	0.043981	0.008970	-0.004919	0.000675	0.000868	-0.007909	-0.004292
900	0.825714	0.512731	0.259742	0.110340	0.048225	0.018615	0.007137	0.006076	0.002990	0.007620	0.003279
975	0.842882	0.563272	0.312886	0.150849	0.060957	0.016493	-0.004630	0.003858	0.007716	0.001833	0.001881
1050	0.822049	0.516590	0.271412	0.109568	0.035590	0.003086	0.007234	0.007330	0.005980	0.000868	-0.002122
1125	0.830633	0.530768	0.286941	0.139660	0.066358	0.025463	0.009838	-0.001350	0.009645	0.008970	-0.010320
1200	0.834587	0.541570	0.294367	0.139082	0.061246	0.017072	0.004051	0.002508	0.002701	0.002315	-0.004967
1275	0.832755	0.539255	0.291763	0.135513	0.050733	0.020351	0.007234	0.005305	-0.000965	0.000772	-0.007813
1350	0.826678	0.528646	0.285687	0.130883	0.058931	0.029514	0.010706	-0.001447	0.004244	0.001350	0.001640
