----------- Resultados_simulacion/MAIN/0.72/EVOLUCION/BARRACHINA/I_0.txt -----------
N_variable	Media_variable	Err_variable	Log(variable)	Err_variable/Media_variable
7	5.96862852e-03	7.56949115e-03	-5.12123811e+00	1.26821281e+00
8	1.56639158e-03	6.29500771e-03	-6.45898066e+00	4.01879568e+00
9	3.82372080e-04	5.73461618e-03	-7.86911639e+00	1.49974762e+01
10	1.01466780e-04	5.48003383e-03	-9.19577910e+00	5.40081574e+01
11	6.63722000e-06	4.89859829e-03	-1.19228174e+01	7.38049710e+02

----------- Resultados_simulacion/MAIN/0.72/EVOLUCION/JOEL/I_15.txt -----------
N_variable	Media_variable	Err_variable	Log(variable)	Err_variable/Media_variable
1	8.30697593e-01	7.28070746e-03	-1.85489457e-01	8.76457031e-03
2	5.34653233e-01	1.87089195e-02	-6.26136905e-01	3.49926240e-02
3	2.89199522e-01	2.33904191e-02	-1.24063844e+00	8.08798676e-02
4	1.34811402e-01	2.08119429e-02	-2.00387850e+00	1.54378209e-01
5	5.46002728e-02	1.52274097e-02	-2.90771640e+00	2.78888894e-01
6	1.92686628e-02	1.03167796e-02	-3.94927519e+00	5.35417518e-01
7	6.02213480e-03	7.58252212e-03	-5.11231346e+00	1.25910867e+00
8	1.58759894e-03	6.31112783e-03	-6.44553250e+00	3.97526584e+00
9	4.10118760e-04	5.78505383e-03	-7.79906378e+00	1.41058015e+01
10	7.98826200e-05	5.47050276e-03	-9.43495225e+00	6.84817643e+01
11	1.66540000e-05	4.91550063e-03	-1.10028601e+01	2.95154355e+02

----------- Resultados_simulacion/MAIN/0.72/EVOLUCION/JOEL/I_2.txt -----------
N_variable	Media_variable	Err_variable	Log(variable)	Err_variable/Media_variable
1	8.30719309e-01	7.30209976e-03	-1.85463316e-01	8.79009273e-03
2	5.34718945e-01	1.86939627e-02	-6.26014007e-01	3.49603523e-02
3	2.89309479e-01	2.33285655e-02	-1.24025830e+00	8.06353304e-02
4	1.34982431e-01	2.06839736e-02	-2.00261065e+00	1.53234561e-01
5	5.47372571e-02	1.51767968e-02	-2.90521068e+00	2.77266300e-01
6	1.93345779e-02	1.03119465e-02	-3.94586019e+00	5.33342210e-01
7	5.97101538e-03	7.55551387e-03	-5.12083829e+00	1.26536500e+00
8	1.61020526e-03	6.30679059e-03	-6.43139362e+00	3.91676188e+00
9	3.71172120e-04	5.75007473e-03	-7.89884467e+00	1.54916666e+01
10	7.70584000e-05	5.44646014e-03	-9.47094698e+00	7.06796421e+01
11	3.70962600e-05	4.89423081e-03	-1.02019944e+01	1.31933268e+02

----------- Resultados_simulacion/MAIN/0.72/EVOLUCION/JOEL/I_3.txt -----------
N_variable	Media_variable	Err_variable	Log(variable)	Err_variable/Media_variable
1	8.30767413e-01	7.31009850e-03	-1.85405411e-01	8.79921189e-03
2	5.34768109e-01	1.87501291e-02	-6.25922066e-01	3.50621676e-02
3	2.89389294e-01	2.34236226e-02	-1.23998246e+00	8.09415659e-02
4	1.35025600e-01	2.07865379e-02	-2.00229089e+00	1.53945162e-01
5	5.48044685e-02	1.51907322e-02	-2.90398355e+00	2.77180540e-01
6	1.94107952e-02	1.03035844e-02	-3.94192592e+00	5.30817225e-01
7	6.00117086e-03	7.54501230e-03	-5.11580069e+00	1.25725671e+00
8	1.62889334e-03	6.30872270e-03	-6.41985443e+00	3.87301154e+00
9	3.79823420e-04	5.73136698e-03	-7.87580410e+00	1.50895566e+01
10	4.01358800e-05	5.44882727e-03	-1.01232399e+01	1.35759507e+02
11	-1.57723600e-05	4.90665649e-03	nan	-3.11092093e+02

----------- Resultados_simulacion/MAIN/0.72/EVOLUCION/JOEL/I_4.txt -----------
N_variable	Media_variable	Err_variable	Log(variable)	Err_variable/Media_variable
1	8.30753013e-01	7.26217661e-03	-1.85422744e-01	8.74167953e-03
2	5.34769626e-01	1.86707638e-02	-6.25919230e-01	3.49136580e-02
3	2.89360115e-01	2.33304789e-02	-1.24008329e+00	8.06278323e-02
4	1.35003409e-01	2.07551384e-02	-2.00245525e+00	1.53737884e-01
5	5.47107814e-02	1.51632928e-02	-2.90569449e+00	2.77153651e-01
6	1.93393814e-02	1.03550646e-02	-3.94561177e+00	5.35439284e-01
7	5.96951016e-03	7.57358319e-03	-5.12109041e+00	1.26871100e+00
8	1.63843632e-03	6.30082543e-03	-6.41401296e+00	3.84563340e+00
9	3.58882500e-04	5.78789503e-03	-7.93251552e+00	1.61275488e+01
10	9.32070000e-05	5.44981753e-03	-9.28068773e+00	5.84700455e+01
11	1.36292200e-05	4.92048679e-03	-1.12032945e+01	3.61024827e+02

----------- Resultados_simulacion/MAIN/0.72/EVOLUCION/JOEL/I_5.txt -----------
N_variable	Media_variable	Err_variable	Log(variable)	Err_variable/Media_variable
1	8.30720226e-01	7.27645111e-03	-1.85462212e-01	8.75920783e-03
2	5.34700798e-01	1.86368941e-02	-6.26047945e-01	3.48548088e-02
3	2.89293044e-01	2.32847324e-02	-1.24031511e+00	8.04883935e-02
4	1.34943524e-01	2.06938115e-02	-2.00289893e+00	1.53351645e-01
5	5.47231037e-02	1.51752096e-02	-2.90546929e+00	2.77309008e-01
6	1.93521677e-02	1.03587062e-02	-3.94495084e+00	5.35273691e-01
7	6.01006822e-03	7.54243977e-03	-5.11431918e+00	1.25496741e+00
8	1.64200188e-03	6.29957952e-03	-6.41183912e+00	3.83652394e+00
9	3.81100500e-04	5.75641890e-03	-7.87244744e+00	1.51047267e+01
10	5.84294800e-05	5.45555418e-03	-9.74769000e+00	9.33698911e+01
11	3.28133600e-05	4.93868588e-03	-1.03246748e+01	1.50508387e+02

----------- Resultados_simulacion/MAIN/0.72/EVOLUCION/JOEL/I_6.txt -----------
N_variable	Media_variable	Err_variable	Log(variable)	Err_variable/Media_variable
1	8.30733349e-01	7.32623641e-03	-1.85446415e-01	8.81899880e-03
2	5.34747870e-01	1.87737057e-02	-6.25959915e-01	3.51075840e-02
3	2.89354553e-01	2.34165314e-02	-1.24010252e+00	8.09267772e-02
4	1.35026901e-01	2.07822585e-02	-2.00228125e+00	1.53911986e-01
5	5.47716803e-02	1.52023509e-02	-2.90458200e+00	2.77558600e-01
6	1.93711709e-02	1.03547669e-02	-3.94396936e+00	5.34545224e-01
7	5.97324334e-03	7.57899576e-03	-5.12046523e+00	1.26882421e+00
8	1.60106318e-03	6.28499425e-03	-6.43708738e+00	3.92551295e+00
9	3.65608260e-04	5.74848541e-03	-7.91394813e+00	1.57230731e+01
10	4.00598000e-05	5.46466094e-03	-1.01251372e+01	1.36412587e+02
11	-5.44494000e-06	4.88968149e-03	nan	-8.98023025e+02

----------- Resultados_simulacion/MAIN/0.72/EVOLUCION/JOEL/I_7.txt -----------
N_variable	Media_variable	Err_variable	Log(variable)	Err_variable/Media_variable
1	8.30728316e-01	7.31074403e-03	-1.85452474e-01	8.80040308e-03
2	5.34693274e-01	1.87576394e-02	-6.26062016e-01	3.50811208e-02
3	2.89293046e-01	2.34052215e-02	-1.24031510e+00	8.09048880e-02
4	1.34918901e-01	2.07832544e-02	-2.00308142e+00	1.54042571e-01
5	5.46896387e-02	1.51918167e-02	-2.90608101e+00	2.77782356e-01
6	1.92742277e-02	1.03072271e-02	-3.94898643e+00	5.34767321e-01
7	6.00235720e-03	7.55276201e-03	-5.11560302e+00	1.25829932e+00
8	1.58760454e-03	6.31528454e-03	-6.44552898e+00	3.97787004e+00
9	3.73251420e-04	5.73954315e-03	-7.89325832e+00	1.53771502e+01
10	6.45948000e-05	5.47679066e-03	-9.64737665e+00	8.47868662e+01
11	6.26774000e-06	4.89892398e-03	-1.19800947e+01	7.81609317e+02

----------- Resultados_simulacion/MAIN/0.72/EVOLUCION/JOEL/I_8.txt -----------
N_variable	Media_variable	Err_variable	Log(variable)	Err_variable/Media_variable
1	8.30751885e-01	7.24787320e-03	-1.85424103e-01	8.72447398e-03
2	5.34811706e-01	1.85812316e-02	-6.25840545e-01	3.47435021e-02
3	2.89429377e-01	2.32560152e-02	-1.23984396e+00	8.03512603e-02
4	1.35026272e-01	2.06717235e-02	-2.00228591e+00	1.53094084e-01
5	5.47913684e-02	1.51242561e-02	-2.90422261e+00	2.76033553e-01
6	1.93801993e-02	1.03120104e-02	-3.94350339e+00	5.32090006e-01
7	5.97679236e-03	7.56649852e-03	-5.11987125e+00	1.26597982e+00
8	1.60322596e-03	6.27370834e-03	-6.43573745e+00	3.91317786e+00
9	3.86387720e-04	5.71517423e-03	-7.85866924e+00	1.47912937e+01
10	7.57176800e-05	5.42474107e-03	-9.48849887e+00	7.16443118e+01
11	-1.35579000e-05	4.87693991e-03	nan	-3.59712043e+02

----------- Resultados_simulacion/MAIN/0.72/EVOLUCION/JOEL/I_9.txt -----------
N_variable	Media_variable	Err_variable	Log(variable)	Err_variable/Media_variable
1	8.30738007e-01	7.29866284e-03	-1.85440809e-01	8.78575770e-03
2	5.34717769e-01	1.87500854e-02	-6.26016206e-01	3.50653867e-02
3	2.89296062e-01	2.33852080e-02	-1.24030468e+00	8.08348648e-02
4	1.35002880e-01	2.07888411e-02	-2.00245916e+00	1.53988130e-01
5	5.47525462e-02	1.52354282e-02	-2.90493141e+00	2.78259721e-01
6	1.93738352e-02	1.03499747e-02	-3.94383183e+00	5.34224361e-01
7	5.98940308e-03	7.55540360e-03	-5.11776352e+00	1.26146187e+00
8	1.64231536e-03	6.25610244e-03	-6.41164823e+00	3.80931859e+00
9	4.20692220e-04	5.73324278e-03	-7.77360906e+00	1.36281170e+01
10	6.88365600e-05	5.45864796e-03	-9.58377556e+00	7.92986745e+01
11	-2.44080600e-05	4.93711902e-03	nan	-2.02274127e+02

----------- Resultados_simulacion/MAIN/0.72/EVOLUCION/JOEL_1/I_0.txt -----------
N_variable	Media_variable	Err_variable	Log(variable)	Err_variable/Media_variable
1	8.30733046e-01	7.24875015e-03	-1.85446779e-01	8.72572745e-03
2	5.34728254e-01	1.86038470e-02	-6.25996597e-01	3.47912176e-02
3	2.89301061e-01	2.32529538e-02	-1.24028740e+00	8.03763171e-02
4	1.34920893e-01	2.06770986e-02	-2.00306665e+00	1.53253497e-01
5	5.47027120e-02	1.51765744e-02	-2.90584199e+00	2.77437331e-01
6	1.93408941e-02	1.03230093e-02	-3.94553356e+00	5.33740026e-01
7	5.97517864e-03	7.50517024e-03	-5.12014128e+00	1.25605788e+00
8	1.64052912e-03	6.29471484e-03	-6.41273646e+00	3.83700281e+00
9	4.22835660e-04	5.71227710e-03	-7.76852697e+00	1.35094498e+01
10	4.96201400e-05	5.46304557e-03	-9.91111376e+00	1.10097343e+02
11	-8.74328000e-06	4.91533381e-03	nan	-5.62184193e+02

----------- Resultados_simulacion/MAIN/0.72/EVOLUCION/JOEL_1/I_1.txt -----------
N_variable	Media_variable	Err_variable	Log(variable)	Err_variable/Media_variable
1	8.30803890e-01	7.25501621e-03	-1.85361505e-01	8.73252557e-03
2	5.34932929e-01	1.86355215e-02	-6.25613906e-01	3.48371179e-02
3	2.89589013e-01	2.32934972e-02	-1.23929256e+00	8.04363983e-02
4	1.35126648e-01	2.07448656e-02	-2.00154280e+00	1.53521647e-01
5	5.48438764e-02	1.52142608e-02	-2.90326474e+00	2.77410383e-01
6	1.94382267e-02	1.03318595e-02	-3.94051370e+00	5.31522741e-01
7	6.03169046e-03	7.51425702e-03	-5.11072797e+00	1.24579619e+00
8	1.62416724e-03	6.31418616e-03	-6.42276006e+00	3.88764532e+00
9	3.34437340e-04	5.75956209e-03	-8.00306102e+00	1.72216478e+01
10	4.86131000e-05	5.49611479e-03	-9.93161752e+00	1.13058307e+02
11	-5.19850400e-05	4.93260688e-03	nan	-9.48851224e+01

----------- Resultados_simulacion/MAIN/0.72/EVOLUCION/JOEL_1/I_10.txt -----------
N_variable	Media_variable	Err_variable	Log(variable)	Err_variable/Media_variable
1	8.30708677e-01	7.28275664e-03	-1.85476115e-01	8.76692016e-03
2	5.34668373e-01	1.86948612e-02	-6.26108587e-01	3.49653395e-02
3	2.89247849e-01	2.33867486e-02	-1.24047135e+00	8.08536650e-02
4	1.34935506e-01	2.07668308e-02	-2.00295835e+00	1.53901900e-01
5	5.47296838e-02	1.51997348e-02	-2.90534905e+00	2.77723783e-01
6	1.93696788e-02	1.03245726e-02	-3.94404639e+00	5.33027559e-01
7	6.03933030e-03	7.54647967e-03	-5.10946215e+00	1.24955571e+00
8	1.59745092e-03	6.29144834e-03	-6.43934610e+00	3.93842982e+00
9	3.75387940e-04	5.74660810e-03	-7.88755056e+00	1.53084516e+01
10	1.38771240e-04	5.45734957e-03	-8.88268374e+00	3.93262291e+01
11	5.02540400e-05	4.91305678e-03	-9.89841962e+00	9.77644142e+01

----------- Resultados_simulacion/MAIN/0.72/EVOLUCION/JOEL_1/I_11.txt -----------
N_variable	Media_variable	Err_variable	Log(variable)	Err_variable/Media_variable
1	8.30737656e-01	7.29778561e-03	-1.85441230e-01	8.78470544e-03
2	5.34776596e-01	1.86967918e-02	-6.25906197e-01	3.49618737e-02
3	2.89416991e-01	2.33525702e-02	-1.23988676e+00	8.06883180e-02
4	1.35044782e-01	2.07623190e-02	-2.00214884e+00	1.53743956e-01
5	5.47673681e-02	1.52146686e-02	-2.90466073e+00	2.77805363e-01
6	1.93710644e-02	1.03849971e-02	-3.94397485e+00	5.36108749e-01
7	6.02395860e-03	7.56796485e-03	-5.11201066e+00	1.25631090e+00
8	1.59661926e-03	6.28866864e-03	-6.43986685e+00	3.93874031e+00
9	3.66193720e-04	5.74346070e-03	-7.91234807e+00	1.56842141e+01
10	1.07489500e-04	5.45833990e-03	-9.13811739e+00	5.07802148e+01
11	2.31396000e-05	4.89061873e-03	-1.06739651e+01	2.11352777e+02

----------- Resultados_simulacion/MAIN/0.72/EVOLUCION/JOEL_1/I_12.txt -----------
N_variable	Media_variable	Err_variable	Log(variable)	Err_variable/Media_variable
1	8.30781209e-01	7.29048078e-03	-1.85388805e-01	8.77545219e-03
2	5.34860347e-01	1.86729667e-02	-6.25749599e-01	3.49118547e-02
3	2.89524869e-01	2.33243442e-02	-1.23951408e+00	8.05607624e-02
4	1.35125446e-01	2.07371763e-02	-2.00155170e+00	1.53466108e-01
5	5.48154901e-02	1.51819859e-02	-2.90378246e+00	2.76965249e-01
6	1.94412300e-02	1.03741074e-02	-3.94035921e+00	5.33613737e-01
7	5.98641506e-03	7.53744611e-03	-5.11826253e+00	1.25909180e+00
8	1.58812640e-03	6.29521131e-03	-6.44520032e+00	3.96392334e+00
9	4.32291840e-04	5.76949217e-03	-7.74640964e+00	1.33462898e+01
10	1.19447180e-04	5.43595944e-03	-9.03263629e+00	4.55093158e+01
11	-1.56375000e-05	4.89112018e-03	nan	-3.12781466e+02

----------- Resultados_simulacion/MAIN/0.72/EVOLUCION/JOEL_1/I_13.txt -----------
N_variable	Media_variable	Err_variable	Log(variable)	Err_variable/Media_variable
1	8.30723689e-01	7.26519985e-03	-1.85458044e-01	8.74562740e-03
2	5.34703826e-01	1.86217668e-02	-6.26042281e-01	3.48263205e-02
3	2.89268897e-01	2.32447012e-02	-1.24039858e+00	8.03567249e-02
4	1.34944268e-01	2.06563781e-02	-2.00289341e+00	1.53073401e-01
5	5.47203140e-02	1.51078800e-02	-2.90552027e+00	2.76092714e-01
6	1.93486596e-02	1.03155032e-02	-3.94513213e+00	5.33137870e-01
7	5.96939294e-03	7.56765349e-03	-5.12111004e+00	1.26774256e+00
8	1.60737778e-03	6.30865957e-03	-6.43315114e+00	3.92481447e+00
9	4.02600820e-04	5.76045671e-03	-7.81756501e+00	1.43081097e+01
10	9.28437600e-05	5.46951849e-03	-9.28459248e+00	5.89109973e+01
11	-1.76966800e-05	4.90616063e-03	nan	-2.77236218e+02

----------- Resultados_simulacion/MAIN/0.72/EVOLUCION/JOEL_1/I_14.txt -----------
N_variable	Media_variable	Err_variable	Log(variable)	Err_variable/Media_variable
1	8.30762824e-01	7.29199181e-03	-1.85410935e-01	8.77746523e-03
2	5.34777932e-01	1.87227636e-02	-6.25903698e-01	3.50103518e-02
3	2.89376193e-01	2.33787455e-02	-1.24002773e+00	8.07901481e-02
4	1.35054109e-01	2.07467199e-02	-2.00207977e+00	1.53617836e-01
5	5.48435413e-02	1.51826214e-02	-2.90327085e+00	2.76835176e-01
6	1.94445387e-02	1.03592535e-02	-3.94018903e+00	5.32759023e-01
7	6.01607430e-03	7.57925389e-03	-5.11332034e+00	1.25983382e+00
8	1.63108086e-03	6.30699515e-03	-6.41851238e+00	3.86675811e+00
9	3.79386940e-04	5.71360666e-03	-7.87695392e+00	1.50601037e+01
10	5.46748600e-05	5.44536631e-03	-9.81410655e+00	9.95954323e+01
11	-2.78917600e-05	4.91581359e-03	nan	-1.76246088e+02

----------- Resultados_simulacion/MAIN/0.72/EVOLUCION/JOEL_1/I_2.txt -----------
N_variable	Media_variable	Err_variable	Log(variable)	Err_variable/Media_variable
1	8.30753269e-01	7.29982093e-03	-1.85422437e-01	8.78699032e-03
2	5.34810794e-01	1.87110405e-02	-6.25842250e-01	3.49862806e-02
3	2.89427077e-01	2.33970791e-02	-1.23985191e+00	8.08392889e-02
4	1.35066981e-01	2.08363324e-02	-2.00198447e+00	1.54266662e-01
5	5.47935279e-02	1.52722836e-02	-2.90418320e+00	2.78724225e-01
6	1.93943878e-02	1.03531819e-02	-3.94277154e+00	5.33823600e-01
7	6.02778254e-03	7.55292858e-03	-5.11137607e+00	1.25301942e+00
8	1.63644810e-03	6.28759105e-03	-6.41522718e+00	3.84221843e+00
9	4.09638800e-04	5.75584218e-03	-7.80023476e+00	1.40510181e+01
10	7.53163400e-05	5.46777284e-03	-9.49381345e+00	7.25974315e+01
11	3.90398000e-06	4.91084713e-03	-1.24535140e+01	1.25790786e+03

----------- Resultados_simulacion/MAIN/0.72/EVOLUCION/JOEL_1/I_3.txt -----------
N_variable	Media_variable	Err_variable	Log(variable)	Err_variable/Media_variable
1	8.30757442e-01	7.23337581e-03	-1.85417414e-01	8.70696480e-03
2	5.34804096e-01	1.85334070e-02	-6.25854774e-01	3.46545718e-02
3	2.89432962e-01	2.31542215e-02	-1.23983157e+00	7.99985644e-02
4	1.35053929e-01	2.05933883e-02	-2.00208111e+00	1.52482704e-01
5	5.47773103e-02	1.51225749e-02	-2.90447922e+00	2.76073703e-01
6	1.93472768e-02	1.02656126e-02	-3.94520360e+00	5.30597287e-01
7	5.98240428e-03	7.58200692e-03	-5.11893274e+00	1.26738458e+00
8	1.60975886e-03	6.28168268e-03	-6.43167089e+00	3.90225072e+00
9	3.61932440e-04	5.74477120e-03	-7.92405299e+00	1.58724960e+01
10	8.53657200e-05	5.46168406e-03	-9.36856594e+00	6.39798277e+01
11	-3.58146000e-06	4.90862349e-03	nan	-1.37056493e+03

----------- Resultados_simulacion/MAIN/0.72/EVOLUCION/JOEL_1/I_4.txt -----------
N_variable	Media_variable	Err_variable	Log(variable)	Err_variable/Media_variable
1	8.30713769e-01	7.27767023e-03	-1.85469985e-01	8.76074347e-03
2	5.34663181e-01	1.87070723e-02	-6.26118298e-01	3.49885180e-02
3	2.89227784e-01	2.33729308e-02	-1.24054072e+00	8.08114991e-02
4	1.34854155e-01	2.07867358e-02	-2.00356142e+00	1.54142346e-01
5	5.46565654e-02	1.52211066e-02	-2.90668594e+00	2.78486335e-01
6	1.93148633e-02	1.03839492e-02	-3.94688036e+00	5.37614431e-01
7	5.96860196e-03	7.54866881e-03	-5.12124256e+00	1.26472981e+00
8	1.61803604e-03	6.33458832e-03	-6.42654219e+00	3.91498592e+00
9	3.77853240e-04	5.76041330e-03	-7.88100469e+00	1.52451076e+01
10	7.79843800e-05	5.46438464e-03	-9.45900201e+00	7.00702454e+01
11	3.51321400e-05	4.92892847e-03	-1.02563942e+01	1.40296847e+02

----------- Resultados_simulacion/MAIN/0.72/EVOLUCION/JOEL_1/I_5.txt -----------
N_variable	Media_variable	Err_variable	Log(variable)	Err_variable/Media_variable
1	8.30751263e-01	7.25949500e-03	-1.85424851e-01	8.73847002e-03
2	5.34780948e-01	1.86713527e-02	-6.25898059e-01	3.49140200e-02
3	2.89381667e-01	2.33279597e-02	-1.24000881e+00	8.06131223e-02
4	1.35041878e-01	2.07374357e-02	-2.00217034e+00	1.53562999e-01
5	5.48430965e-02	1.51392847e-02	-2.90327896e+00	2.76047227e-01
6	1.94392735e-02	1.03197311e-02	-3.94045985e+00	5.30870203e-01
7	6.05971420e-03	7.54589437e-03	-5.10609264e+00	1.24525582e+00
8	1.67525646e-03	6.29350395e-03	-6.39178901e+00	3.75674060e+00
9	2.96267720e-04	5.74446961e-03	-8.12424705e+00	1.93894550e+01
10	2.77706400e-05	5.48684556e-03	-1.04915312e+01	1.97577210e+02
11	-1.88662400e-05	4.93026037e-03	nan	-2.61327131e+02

----------- Resultados_simulacion/MAIN/0.72/EVOLUCION/JOEL_1/I_6.txt -----------
N_variable	Media_variable	Err_variable	Log(variable)	Err_variable/Media_variable
1	8.30822307e-01	7.31981326e-03	-1.85339337e-01	8.81032345e-03
2	5.34977864e-01	1.88049204e-02	-6.25529909e-01	3.51508382e-02
3	2.89623653e-01	2.34444679e-02	-1.23917295e+00	8.09480428e-02
4	1.35210405e-01	2.07963420e-02	-2.00092316e+00	1.53807261e-01
5	5.48990849e-02	1.52121614e-02	-2.90225860e+00	2.77093168e-01
6	1.94085523e-02	1.03369831e-02	-3.94204147e+00	5.32599392e-01
7	5.97369644e-03	7.57043548e-03	-5.12038937e+00	1.26729497e+00
8	1.58671776e-03	6.31456188e-03	-6.44608770e+00	3.97963774e+00
9	3.86877300e-04	5.73507229e-03	-7.85740297e+00	1.48240083e+01
10	1.12078900e-04	5.45658422e-03	-9.09630747e+00	4.86852050e+01
11	1.62890400e-05	4.91012227e-03	-1.10250181e+01	3.01437179e+02

----------- Resultados_simulacion/MAIN/0.72/EVOLUCION/JOEL_1/I_7.txt -----------
N_variable	Media_variable	Err_variable	Log(variable)	Err_variable/Media_variable
1	8.30769713e-01	7.30149323e-03	-1.85402643e-01	8.78882935e-03
2	5.34840224e-01	1.87311804e-02	-6.25787223e-01	3.50220114e-02
3	2.89443782e-01	2.34000733e-02	-1.23979419e+00	8.08449679e-02
4	1.35082897e-01	2.08127375e-02	-2.00186663e+00	1.54073816e-01
5	5.48886374e-02	1.52099919e-02	-2.90244892e+00	2.77106386e-01
6	1.94445468e-02	1.03858763e-02	-3.94018862e+00	5.34127968e-01
7	6.01658656e-03	7.54337863e-03	-5.11323520e+00	1.25376383e+00
8	1.66298700e-03	6.31535033e-03	-6.39913990e+00	3.79759453e+00
9	4.30628260e-04	5.70574001e-03	-7.75026535e+00	1.32498039e+01
10	1.04274260e-04	5.47269230e-03	-9.16848601e+00	5.24836359e+01
11	-1.31866000e-06	4.91716752e-03	nan	-3.72891232e+03

----------- Resultados_simulacion/MAIN/0.72/EVOLUCION/JOEL_1/I_8.txt -----------
N_variable	Media_variable	Err_variable	Log(variable)	Err_variable/Media_variable
1	8.30688623e-01	7.30762033e-03	-1.85500256e-01	8.79706322e-03
2	5.34639771e-01	1.87110257e-02	-6.26162084e-01	3.49974445e-02
3	2.89236819e-01	2.33515134e-02	-1.24050948e+00	8.07349267e-02
4	1.34904418e-01	2.06913263e-02	-2.00318877e+00	1.53377678e-01
5	5.47286858e-02	1.50816182e-02	-2.90536729e+00	2.75570626e-01
6	1.93658549e-02	1.03088454e-02	-3.94424382e+00	5.32320695e-01
7	5.97931588e-03	7.50963654e-03	-5.11944912e+00	1.25593574e+00
8	1.64783860e-03	6.26931204e-03	-6.40829079e+00	3.80456681e+00
9	3.61271900e-04	5.71758720e-03	-7.92587970e+00	1.58262716e+01
10	4.09673600e-05	5.46509810e-03	-1.01027349e+01	1.33401276e+02
11	-5.26800000e-06	4.90961572e-03	nan	-9.31969575e+02

----------- Resultados_simulacion/MAIN/0.72/EVOLUCION/JOEL_1/I_9.txt -----------
N_variable	Media_variable	Err_variable	Log(variable)	Err_variable/Media_variable
1	8.30644055e-01	7.30111600e-03	-1.85553909e-01	8.78970475e-03
2	5.34519483e-01	1.87379433e-02	-6.26387098e-01	3.50556788e-02
3	2.89085246e-01	2.33638852e-02	-1.24103367e+00	8.08200541e-02
4	1.34817283e-01	2.07333035e-02	-2.00383487e+00	1.53788172e-01
5	5.46610074e-02	1.51493718e-02	-2.90660467e+00	2.77151346e-01
6	1.93832787e-02	1.03268898e-02	-3.94334451e+00	5.32773118e-01
7	6.00313246e-03	7.54574655e-03	-5.11547387e+00	1.25696819e+00
8	1.64608920e-03	6.29782470e-03	-6.40935299e+00	3.82593161e+00
9	3.77579500e-04	5.77573531e-03	-7.88172942e+00	1.52967396e+01
10	6.46691200e-05	5.47217583e-03	-9.64622675e+00	8.46180654e+01
11	-3.11685800e-05	4.89332371e-03	nan	-1.56995401e+02

----------- Resultados_simulacion/MAIN/0.72/EVOLUCION/NASIO/I_0.txt -----------
N_variable	Media_variable	Err_variable	Log(variable)	Err_variable/Media_variable
1	8.30717709e-01	7.29102663e-03	-1.85465242e-01	8.77678007e-03
2	5.34684134e-01	1.87180053e-02	-6.26079110e-01	3.50075943e-02
3	2.89276414e-01	2.33749315e-02	-1.24037260e+00	8.08048304e-02
4	1.34942586e-01	2.07751957e-02	-2.00290588e+00	1.53955815e-01
5	5.47323473e-02	1.51673247e-02	-2.90530039e+00	2.77118110e-01
6	1.93388695e-02	1.02711543e-02	-3.94563825e+00	5.31114519e-01
7	5.97892206e-03	7.49595462e-03	-5.11951498e+00	1.25373011e+00
8	1.65982470e-03	6.28051996e-03	-6.40104328e+00	3.78384534e+00
9	3.90203640e-04	5.73521309e-03	-7.84884180e+00	1.46980000e+01
10	6.25996400e-05	5.46126099e-03	-9.67875103e+00	8.72410925e+01
11	-5.42367800e-05	4.91957317e-03	nan	-9.07054800e+01

----------- Resultados_simulacion/MAIN/0.72/EVOLUCION/NASIO/I_1.txt -----------
N_variable	Media_variable	Err_variable	Log(variable)	Err_variable/Media_variable
1	8.30734741e-01	7.27136739e-03	-1.85444740e-01	8.75293524e-03
2	5.34729675e-01	1.86094359e-02	-6.25993940e-01	3.48015768e-02
3	2.89330740e-01	2.32615216e-02	-1.24018482e+00	8.03976848e-02
4	1.34926625e-01	2.07583781e-02	-2.00302417e+00	1.53849383e-01
5	5.47157892e-02	1.51635674e-02	-2.90560296e+00	2.77133303e-01
6	1.93893746e-02	1.03800293e-02	-3.94303006e+00	5.35346267e-01
7	6.00264546e-03	7.58846971e-03	-5.11555500e+00	1.26418756e+00
8	1.62364398e-03	6.25277495e-03	-6.42308229e+00	3.85107513e+00
9	4.36623280e-04	5.77523082e-03	-7.73643979e+00	1.32270337e+01
10	6.54738800e-05	5.43848488e-03	-9.63385927e+00	8.30634275e+01
11	3.67983000e-05	4.90030204e-03	-1.02100589e+01	1.33166533e+02

----------- Resultados_simulacion/MAIN/0.72/EVOLUCION/NASIO/I_10.txt -----------
N_variable	Media_variable	Err_variable	Log(variable)	Err_variable/Media_variable
1	8.30743366e-01	7.28181177e-03	-1.85434357e-01	8.76541669e-03
2	5.34753791e-01	1.86681503e-02	-6.25948842e-01	3.49098045e-02
3	2.89390586e-01	2.32796479e-02	-1.23997800e+00	8.04436947e-02
4	1.35055218e-01	2.06613577e-02	-2.00207156e+00	1.52984520e-01
5	5.47692742e-02	1.51437740e-02	-2.90462593e+00	2.76501273e-01
6	1.93608324e-02	1.03387115e-02	-3.94450320e+00	5.34001393e-01
7	5.97333844e-03	7.55048940e-03	-5.12044931e+00	1.26403174e+00
8	1.63824014e-03	6.24505172e-03	-6.41413270e+00	3.81204902e+00
9	4.19310680e-04	5.70639813e-03	-7.77689843e+00	1.36089978e+01
10	1.01478480e-04	5.47379736e-03	-9.19566380e+00	5.39404744e+01
