----------- Resultados_simulacion/MAIN/0.72/EVOLUCION/BARRACHINA/I_0.txt -----------
N_variable	Media_variable	Err_variable	Log(variable)	Err_variable/Media_variable
2	5.34862030e-01	1.86865220e-02	-6.25746453e-01	3.49370884e-02
3	2.89546453e-01	2.33265440e-02	-1.23943954e+00	8.05623546e-02
4	1.35182691e-01	2.07470650e-02	-2.00112815e+00	1.53474271e-01
5	5.48564267e-02	1.51715936e-02	-2.90303593e+00	2.76569119e-01
6	1.94268070e-02	1.03840139e-02	-3.94110136e+00	5.34519847e-01
7	6.03927024e-03	7.58563615e-03	-5.10947210e+00	1.25605178e+00
8	1.64879810e-03	6.29817252e-03	-6.40770868e+00	3.81985673e+00
9	3.51087380e-04	5.74652101e-03	-7.95447542e+00	1.63677800e+01
10	2.73791000e-05	5.44249804e-03	-1.05057306e+01	1.98782942e+02
11	4.39110000e-06	4.89686917e-03	-1.23359308e+01	1.11518052e+03

----------- Resultados_simulacion/MAIN/0.72/EVOLUCION/BARRACHINA/I_15.txt -----------
N_variable	Media_variable	Err_variable	Log(variable)	Err_variable/Media_variable
1	8.30677420e-01	7.30735790e-03	-1.85513742e-01	8.79686593e-03
2	5.34605882e-01	1.87545354e-02	-6.26225472e-01	3.50810495e-02
3	2.89166682e-01	2.34048047e-02	-1.24075200e+00	8.09388017e-02
4	1.34833670e-01	2.07840108e-02	-2.00371334e+00	1.54145555e-01
5	5.46479055e-02	1.52074949e-02	-2.90684439e+00	2.78281386e-01
6	1.93635074e-02	1.03452515e-02	-3.94436505e+00	5.34265373e-01
7	6.01712624e-03	7.52844019e-03	-5.11314550e+00	1.25116873e+00
8	1.69425820e-03	6.33238846e-03	-6.38051027e+00	3.73755810e+00
9	4.25012060e-04	5.72148174e-03	-7.76339301e+00	1.34619280e+01
10	6.12267200e-05	5.44487716e-03	-9.70092686e+00	8.89297542e+01
11	2.07893200e-05	4.89929329e-03	-1.07810712e+01	2.35663951e+02

----------- Resultados_simulacion/MAIN/0.72/EVOLUCION/BARRACHINA/I_16.txt -----------
N_variable	Media_variable	Err_variable	Log(variable)	Err_variable/Media_variable
1	8.30736151e-01	7.29275375e-03	-1.85443043e-01	8.77866425e-03
2	5.34725495e-01	1.87023667e-02	-6.26001757e-01	3.49756404e-02
3	2.89306671e-01	2.33794808e-02	-1.24026801e+00	8.08121039e-02
4	1.34987454e-01	2.07226277e-02	-2.00257344e+00	1.53515212e-01
5	5.47462810e-02	1.51255822e-02	-2.90504584e+00	2.76285109e-01
6	1.93740509e-02	1.02630170e-02	-3.94382069e+00	5.29730051e-01
7	5.97702178e-03	7.50221288e-03	-5.11983287e+00	1.25517576e+00
8	1.57485772e-03	6.29193060e-03	-6.45359035e+00	3.99523748e+00
9	3.82699580e-04	5.71556667e-03	-7.86826026e+00	1.49348653e+01
