0	1.000000	1.000000	1.000000
1	0.851719	0.361887	0.835207
2	0.745964	0.187408	0.748195
3	0.664960	0.124478	0.675730
4	0.593978	0.089042	0.617137
5	0.532372	0.050938	0.565521
6	0.479292	0.033104	0.522630
7	0.427331	0.035259	0.480478
8	0.381290	0.025292	0.445476
9	0.342384	0.015173	0.411999
10	0.307484	0.018805	0.379065
11	0.276692	0.029195	0.347491
12	0.251256	0.019737	0.315194
13	0.225731	0.016381	0.289631
14	0.199046	0.004075	0.265027
15	0.180855	0.006340	0.237701
16	0.162914	0.004517	0.217781
17	0.143745	-0.000755	0.202360
18	0.129293	-0.017068	0.191073
19	0.116920	-0.004759	0.180565
20	0.103708	0.009205	0.170757
21	0.091910	0.000402	0.160498
22	0.080766	-0.001956	0.149886
23	0.068831	-0.006124	0.136428
24	0.060764	0.003086	0.121326
25	0.054391	-0.008059	0.107246
26	0.054296	0.000013	0.098366
27	0.050523	0.004790	0.087896
28	0.049922	-0.002388	0.079672
29	0.047928	0.003092	0.074560
30	0.044400	0.011133	0.065705
31	0.042752	-0.005983	0.057227
32	0.037488	-0.012321	0.052577
33	0.031146	0.007693	0.048350
34	0.026393	-0.013837	0.044001
35	0.023149	0.002526	0.039283
36	0.018588	0.012245	0.033593
37	0.012544	0.017977	0.031050
38	0.010403	0.014766	0.025691
39	0.004470	0.011863	0.020902
40	0.000155	0.006755	0.021832
41	-0.002373	0.006391	0.022215
42	-0.004008	0.003102	0.022906
43	-0.012716	0.007404	0.020496
44	-0.023056	0.009807	0.018844
45	-0.027954	0.003489	0.015317
46	-0.028392	0.022336	0.009053
47	-0.029594	0.014742	0.001411
48	-0.028892	0.013854	0.001105
49	-0.029416	0.012765	-0.001276
50	-0.026760	0.009316	-0.004372
51	-0.022299	0.022859	-0.007216
52	-0.024920	0.019745	-0.010289
53	-0.027110	0.022706	-0.012650
54	-0.022790	0.017104	-0.015105
55	-0.020306	-0.004428	-0.018777
56	-0.017381	0.000509	-0.023374
57	-0.016604	-0.010912	-0.024105
58	-0.015185	-0.001355	-0.024240
59	-0.015687	-0.001408	-0.020918
60	-0.020158	0.012360	-0.019840
61	-0.019591	0.018571	-0.016719
62	-0.018490	0.016055	-0.018214
63	-0.018294	0.011706	-0.020525
64	-0.014074	0.007565	-0.021803
65	-0.005895	-0.000232	-0.022712
66	0.001450	0.002883	-0.022356
67	0.009216	0.004313	-0.022682
68	0.014915	0.012920	-0.024155
69	0.016735	0.009333	-0.027032
70	0.020998	0.004420	-0.023740
71	0.022634	-0.000882	-0.019986
72	0.026001	-0.006778	-0.019233
73	0.026827	-0.014020	-0.020046
74	0.025741	-0.011722	-0.013653
75	0.026162	-0.012002	-0.014397
76	0.025792	-0.005312	-0.012456
77	0.028643	-0.012312	-0.004945
78	0.029392	-0.023668	0.000957
79	0.028971	-0.019828	0.006837
80	0.026976	-0.010454	0.012429
81	0.026379	-0.004705	0.009832
82	0.022018	0.007134	0.007027
83	0.019373	-0.000394	0.008225
84	0.013141	-0.008348	0.005401
