0	1.000000	0.000000	1.000000	0.000000	1.000000	0.000000
1	0.846183	0.005728	0.338331	0.012524	0.841631	0.008695
2	0.738105	0.009792	0.177771	0.010208	0.755901	0.013932
3	0.652521	0.013037	0.107577	0.011194	0.682229	0.017305
4	0.581629	0.016229	0.068752	0.010554	0.618533	0.020733
5	0.521966	0.018485	0.047254	0.010146	0.562302	0.023981
6	0.469395	0.020263	0.034782	0.011061	0.511087	0.026391
7	0.422555	0.021816	0.026959	0.012274	0.465759	0.028005
8	0.382042	0.022715	0.020200	0.011338	0.426324	0.028731
9	0.346338	0.023142	0.015202	0.011837	0.389918	0.029304
10	0.315194	0.023634	0.012617	0.010110	0.356836	0.029217
11	0.287389	0.024454	0.011792	0.009955	0.326067	0.029094
12	0.261648	0.024457	0.005910	0.010486	0.298797	0.028436
13	0.238948	0.024137	0.006455	0.014012	0.274272	0.029488
14	0.217420	0.023689	0.005042	0.012335	0.251023	0.029752
15	0.198254	0.023577	-0.000239	0.010641	0.229854	0.029502
16	0.180936	0.024836	0.000233	0.012295	0.211003	0.029594
17	0.164668	0.026025	-0.003592	0.012336	0.194050	0.029598
18	0.150299	0.026568	-0.001407	0.014981	0.178447	0.029818
19	0.138409	0.027286	-0.000962	0.011335	0.164844	0.029769
20	0.125684	0.027717	-0.000550	0.011560	0.152239	0.030966
21	0.114684	0.027506	-0.000263	0.011418	0.139960	0.031751
22	0.104730	0.026135	-0.002549	0.012255	0.127301	0.031990
23	0.097375	0.025078	-0.000627	0.010847	0.115956	0.032961
24	0.088958	0.024681	-0.001221	0.010479	0.106720	0.033390
25	0.081679	0.025338	0.001282	0.010617	0.097933	0.034109
26	0.075548	0.024984	0.000934	0.009023	0.088941	0.033986
27	0.070043	0.025177	0.003581	0.013043	0.080393	0.033456
28	0.066051	0.026018	0.005140	0.013188	0.074284	0.032549
29	0.061403	0.025984	0.003187	0.011974	0.068815	0.031548
30	0.056781	0.026153	0.003335	0.012385	0.063055	0.031400
31	0.053348	0.026343	0.005674	0.009755	0.059051	0.031472
32	0.048408	0.026427	0.009135	0.011990	0.055199	0.032238
33	0.044886	0.026666	0.010086	0.011695	0.051203	0.032564
34	0.041282	0.027428	0.009528	0.013094	0.047525	0.032454
35	0.037970	0.027476	0.008717	0.011532	0.044049	0.031710
36	0.035844	0.027357	0.002685	0.012503	0.040318	0.031867
37	0.034580	0.028004	0.002645	0.011375	0.036944	0.031308
38	0.032894	0.029211	0.002494	0.013103	0.033352	0.031500
39	0.031417	0.030065	0.003492	0.013129	0.030144	0.031077
40	0.029962	0.031376	0.004802	0.011281	0.027614	0.030183
41	0.028816	0.032536	0.006032	0.011906	0.025697	0.029772
42	0.028386	0.032445	0.002957	0.014261	0.023531	0.029766
43	0.026774	0.033144	0.002284	0.013863	0.021014	0.030819
44	0.024860	0.034130	-0.000824	0.012618	0.019437	0.030631
