1	0.830690	0.007232
2	0.534614	0.018568
3	0.289188	0.023205
4	0.134920	0.020673
5	0.054687	0.015158
6	0.019371	0.010332
7	0.005983	0.007514
8	0.001638	0.006288
9	0.000401	0.005757
10	0.000073	0.005449
1	0.830687	0.007262
2	0.534656	0.018646
3	0.289252	0.023329
4	0.134944	0.020741
5	0.054731	0.015169
6	0.019340	0.010342
7	0.005989	0.007576
8	0.001658	0.006291
9	0.000408	0.005739
10	0.000033	0.005466
1	0.830755	0.007286
2	0.534773	0.018668
3	0.289344	0.023303
4	0.134955	0.020711
5	0.054751	0.015178
6	0.019386	0.010321
7	0.006007	0.007537
8	0.001623	0.006325
9	0.000387	0.005727
10	0.000098	0.005462
1	0.830742	0.007288
2	0.534784	0.018654
3	0.289400	0.023281
4	0.135034	0.020744
5	0.054780	0.015206
6	0.019433	0.010341
7	0.006010	0.007535
8	0.001624	0.006276
9	0.000392	0.005686
10	0.000074	0.005414
1	0.830751	0.007259
2	0.534773	0.018634
3	0.289424	0.023286
4	0.135096	0.020697
5	0.054864	0.015185
6	0.019431	0.010380
7	0.006021	0.007597
8	0.001647	0.006320
9	0.000444	0.005763
10	0.000089	0.005504
1	0.830720	0.007279
2	0.534704	0.018654
3	0.289314	0.023292
4	0.134946	0.020671
5	0.054752	0.015113
6	0.019418	0.010289
7	0.006052	0.007519
8	0.001631	0.006284
9	0.000414	0.005774
10	0.000095	0.005418
1	0.830687	0.007281
2	0.534622	0.018645
3	0.289216	0.023256
4	0.134915	0.020685
5	0.054695	0.015127
6	0.019352	0.010341
7	0.005984	0.007519
8	0.001646	0.006264
9	0.000381	0.005733
10	0.000096	0.005451
1	0.830723	0.007263
2	0.534732	0.018642
3	0.289363	0.023306
4	0.135018	0.020717
5	0.054824	0.015205
6	0.019415	0.010341
7	0.005990	0.007520
8	0.001606	0.006270
9	0.000391	0.005722
10	0.000041	0.005459
1	0.830785	0.007242
2	0.534874	0.018557
3	0.289515	0.023184
4	0.135105	0.020651
5	0.054782	0.015140
6	0.019420	0.010287
7	0.006055	0.007545
8	0.001650	0.006351
9	0.000406	0.005751
10	0.000083	0.005455
1	0.830728	0.007271
2	0.534750	0.018618
3	0.289376	0.023253
4	0.135035	0.020695
5	0.054815	0.015135
6	0.019429	0.010336
7	0.006015	0.007560
8	0.001604	0.006330
9	0.000403	0.005748
10	0.000061	0.005454
1	0.830687	0.007254
2	0.534629	0.018631
3	0.289243	0.023286
4	0.134912	0.020688
5	0.054739	0.015184
6	0.019367	0.010349
7	0.005974	0.007548
8	0.001640	0.006329
9	0.000408	0.005702
10	0.000102	0.005456
1	0.830733	0.007243
2	0.534726	0.018617
3	0.289321	0.023257
4	0.134957	0.020637
5	0.054697	0.015107
6	0.019387	0.010335
7	0.006004	0.007572
8	0.001663	0.006312
9	0.000404	0.005805
10	0.000085	0.005474
1	0.830752	0.007272
2	0.534791	0.018641
3	0.289360	0.023279
4	0.134985	0.020672
5	0.054734	0.015097
6	0.019325	0.010327
7	0.005958	0.007558
8	0.001555	0.006282
9	0.000360	0.005763
10	0.000056	0.005437
1	0.830737	0.007293
2	0.534749	0.018701
3	0.289389	0.023373
4	0.135008	0.020735
5	0.054761	0.015160
6	0.019423	0.010371
7	0.006005	0.007600
8	0.001629	0.006306
9	0.000379	0.005763
10	0.000081	0.005443
1	0.830730	0.007267
2	0.534708	0.018640
3	0.289336	0.023260
4	0.134983	0.020701
5	0.054752	0.015192
6	0.019387	0.010370
7	0.005966	0.007566
8	0.001599	0.006303
9	0.000373	0.005719
10	0.000091	0.005463
1	0.830731	0.007273
2	0.534738	0.018674
3	0.289374	0.023350
4	0.135031	0.020741
5	0.054750	0.015212
6	0.019417	0.010384
7	0.006036	0.007572
8	0.001632	0.006286
9	0.000359	0.005748
10	0.000073	0.005473
1	0.830705	0.007271
2	0.534653	0.018681
3	0.289250	0.023347
4	0.134975	0.020754
5	0.054800	0.015198
6	0.019451	0.010318
7	0.006008	0.007514
8	0.001623	0.006283
9	0.000364	0.005766
10	0.000058	0.005469
1	0.830723	0.007264
2	0.534704	0.018643
3	0.289250	0.023292
4	0.134909	0.020705
5	0.054707	0.015134
6	0.019395	0.010345
7	0.006017	0.007537
8	0.001628	0.006302
9	0.000375	0.005763
10	0.000071	0.005477
1	0.830693	0.007278
2	0.534631	0.018674
3	0.289232	0.023314
4	0.134925	0.020689
5	0.054723	0.015180
6	0.019396	0.010360
7	0.006060	0.007551
8	0.001670	0.006296
9	0.000422	0.005733
10	0.000099	0.005450
1	0.830770	0.007251
2	0.534842	0.018627
3	0.289446	0.023328
4	0.135044	0.020764
5	0.054787	0.015186
6	0.019379	0.010380
7	0.006048	0.007576
8	0.001622	0.006283
9	0.000392	0.005776
10	0.000066	0.005462
1	0.830696	0.007260
2	0.534621	0.018600
3	0.289169	0.023220
4	0.134879	0.020654
5	0.054732	0.015146
6	0.019361	0.010333
7	0.006016	0.007559
8	0.001655	0.006273
9	0.000386	0.005773
10	0.000101	0.005418
1	0.830635	0.007258
2	0.534485	0.018601
3	0.289054	0.023233
4	0.134781	0.020661
5	0.054664	0.015105
6	0.019318	0.010323
7	0.005955	0.007541
8	0.001577	0.006286
9	0.000392	0.005747
10	0.000067	0.005432
1	0.830692	0.007293
2	0.534635	0.018702
3	0.289204	0.023292
4	0.134858	0.020660
5	0.054676	0.015084
6	0.019392	0.010277
7	0.006015	0.007525
8	0.001613	0.006267
9	0.000382	0.005722
10	0.000070	0.005475
1	0.830744	0.007233
2	0.534749	0.018574
3	0.289359	0.023210
4	0.134944	0.020657
5	0.054708	0.015100
6	0.019292	0.010324
7	0.005896	0.007543
8	0.001590	0.006288
9	0.000368	0.005730
10	0.000106	0.005449
1	0.830746	0.007277
2	0.534741	0.018672
3	0.289334	0.023364
4	0.135022	0.020772
5	0.054812	0.015171
6	0.019424	0.010342
7	0.006011	0.007564
8	0.001630	0.006273
9	0.000406	0.005747
10	0.000078	0.005488
1	0.830752	0.007244
2	0.534791	0.018604
3	0.289413	0.023258
4	0.135039	0.020672
5	0.054823	0.015113
6	0.019434	0.010306
7	0.006028	0.007524
