# tiempo	energia_plaqueta	w10	magnetizacion
1	0.366802	-0.003762	0.007523
2	0.527296	0.000193	0.001736
3	0.619888	-0.004244	-0.001447
4	0.668789	-0.000096	-0.002749
5	0.708430	-0.004726	-0.001495
6	0.726563	0.002122	0.002267
7	0.741705	0.000965	-0.000530
8	0.757137	-0.004051	0.005980
9	0.765914	0.002025	0.008488
10	0.774113	0.008295	0.008054
11	0.784722	0.003086	0.009934
12	0.789255	-0.002411	0.009356
13	0.796971	-0.002411	0.010899
14	0.809221	0.001350	0.007957
15	0.813079	-0.003665	0.006752
16	0.808256	-0.000193	0.004485
17	0.817612	-0.004051	0.004003
18	0.815876	0.002315	0.003472
19	0.814043	-0.001736	0.003520
20	0.814815	-0.009549	0.002411
21	0.816454	-0.000482	0.000820
22	0.822434	-0.003954	0.002508
23	0.820602	-0.006076	-0.001881
24	0.822917	0.005498	-0.006076
25	0.817515	0.001833	-0.004147
26	0.815104	0.004340	-0.003472
27	0.816647	-0.004147	-0.007475
28	0.818287	-0.000289	0.003328
29	0.826485	-0.000386	0.007137
30	0.827643	-0.008005	0.004292
31	0.825714	0.002025	0.002652
32	0.824846	0.010417	0.004340
33	0.826968	0.006366	0.000338
34	0.828125	-0.009066	0.002363
35	0.829668	0.008584	0.003954
36	0.835166	0.005498	0.003038
37	0.829958	0.006655	0.003279
38	0.833526	-0.003569	0.001495
39	0.833912	-0.000772	0.003665
40	0.836034	-0.015432	0.003713
41	0.832176	0.002701	0.001929
42	0.834877	0.005883	-0.000241
43	0.832562	0.010513	-0.004871
44	0.823302	0.006173	-0.004292
45	0.829475	-0.004340	-0.004003
46	0.823688	0.005015	-0.004147
47	0.821181	-0.003762	-0.004919
48	0.819444	0.001929	-0.003135
49	0.827450	0.010802	-0.001784
50	0.825810	-0.002797	-0.001881
51	0.822145	-0.006366	-0.002845
52	0.821084	0.008488	-0.006655
53	0.822627	0.005305	-0.009934
54	0.824846	-0.001833	-0.007571
55	0.825810	0.005594	-0.005980
56	0.824074	0.000772	-0.004726
57	0.823013	0.004340	-0.010224
58	0.820023	-0.006076	-0.007813
59	0.822242	-0.005015	-0.011526
60	0.827739	-0.000386	-0.008873
61	0.829186	0.001447	-0.009983
62	0.830440	0.000579	-0.006655
63	0.830729	-0.000579	-0.009934
64	0.830922	0.007716	-0.004919
65	0.837770	0.005883	-0.008198
66	0.836323	0.007813	-0.007571
67	0.835166	0.005401	-0.004292
68	0.828511	0.000193	-0.005064
69	0.834298	0.001350	-0.005739
70	0.830826	0.000965	-0.005449
71	0.834973	0.005112	-0.009163
72	0.836130	-0.002025	-0.008632
73	0.825617	-0.004340	-0.003376
74	0.830054	-0.009549	-0.006125
75	0.839603	-0.003376	-0.003762
76	0.836516	0.004147	-0.004581
77	0.837577	0.004340	-0.002508
78	0.843750	0.007716	-0.001784
79	0.838831	0.000579	0.001350
80	0.842978	0.007909	0.004678
81	0.838445	-0.000193	0.005498
82	0.834587	0.002218	0.002074
83	0.835745	-0.000965	0.005112
84	0.830826	0.003762	0.004871
85	0.829958	0.008970	0.007861
86	0.832369	-0.007523	0.005691
87	0.825907	0.007041	0.006944
88	0.825039	-0.007716	0.009742
89	0.824363	0.006752	0.003038
90	0.827257	0.004726	0.003569
91	0.826582	-0.000096	-0.000530
92	0.817323	-0.002701	-0.001157
93	0.813754	0.000965	-0.002749
94	0.812982	0.004147	-0.006125
95	0.811632	-0.002604	-0.002894
96	0.812114	-0.005883	-0.006221
97	0.815586	0.000868	-0.000338
98	0.816551	0.006655	-0.000530
99	0.819830	0.004919	0.000579
100	0.815876	0.006752	0.001013
101	0.815297	-0.002701	-0.002411
102	0.821084	0.001543	0.002459
103	0.822145	-0.007909	-0.000530
