# tiempo	energia_plaqueta	O10	magnetizacion
1	0.373360	0.000000	0.003135
2	0.532022	0.000000	0.004099
3	0.625096	0.000000	0.003520
4	0.675733	0.000000	0.001447
5	0.710745	0.000000	0.003762
6	0.731578	0.000000	0.002942
7	0.752411	0.000000	0.001061
8	0.768422	0.000000	-0.004051
9	0.778935	0.000000	0.001929
10	0.790606	0.000000	0.008681
11	0.791184	0.000000	0.004533
12	0.795332	0.000000	0.003424
13	0.800154	0.000000	-0.002797
14	0.804591	0.000000	0.000482
15	0.811728	0.000000	0.003617
16	0.813561	0.000000	0.002894
17	0.821373	0.000000	0.009356
18	0.824074	0.000000	0.006366
19	0.828800	0.000000	0.007378
20	0.832079	0.000000	0.007378
21	0.822627	0.000000	0.005980
22	0.827932	0.000000	0.003231
23	0.831790	0.000000	-0.001736
24	0.831983	0.000000	0.000048
25	0.827450	0.000000	-0.001495
26	0.833526	0.000000	-0.002411
27	0.834298	0.000000	-0.001640
28	0.835166	0.000000	-0.004389
29	0.834587	0.000000	-0.003376
30	0.840278	0.000000	-0.003665
31	0.834877	0.000000	-0.000723
32	0.833623	0.000000	-0.005353
33	0.829958	0.000000	-0.004437
34	0.835359	0.000000	-0.003858
35	0.833430	0.000000	-0.004678
36	0.837288	0.000000	-0.004244
37	0.836420	0.000000	-0.000772
38	0.830826	0.000000	-0.001543
39	0.829668	0.000000	-0.004774
40	0.828125	0.000000	-0.006028
41	0.830247	0.000000	-0.004726
42	0.832755	0.000000	-0.008102
43	0.823688	0.000000	-0.005835
44	0.830247	0.000000	-0.002218
45	0.832176	0.000000	-0.006607
46	0.831983	0.000000	-0.006076
47	0.831115	0.000000	-0.005112
48	0.833430	0.000000	-0.008391
49	0.837867	0.000000	-0.010754
50	0.842689	0.000000	-0.011140
51	0.841532	0.000000	-0.012297
52	0.832176	0.000000	-0.011671
53	0.830440	0.000000	-0.008873
54	0.834587	0.000000	-0.003424
55	0.832851	0.000000	-0.009452
56	0.833044	0.000000	-0.006800
57	0.827160	0.000000	-0.007909
58	0.827450	0.000000	-0.003472
59	0.830633	0.000000	-0.006655
60	0.838349	0.000000	-0.005208
61	0.837963	0.000000	-0.005112
62	0.830633	0.000000	-0.009597
63	0.836034	0.000000	-0.010079
64	0.829668	0.000000	-0.009066
65	0.827546	0.000000	-0.007475
66	0.832658	0.000000	-0.008873
67	0.838638	0.000000	-0.005160
68	0.839603	0.000000	-0.006462
69	0.839796	0.000000	-0.003328
70	0.839410	0.000000	-0.006800
71	0.836034	0.000000	-0.004871
72	0.830826	0.000000	-0.004437
73	0.829090	0.000000	-0.003231
74	0.832176	0.000000	-0.003906
75	0.831694	0.000000	-0.006221
76	0.828125	0.000000	-0.007523
77	0.829572	0.000000	-0.009115
78	0.829572	0.000000	-0.005064
79	0.831694	0.000000	-0.004919
80	0.822627	0.000000	-0.003424
81	0.828511	0.000000	-0.002701
82	0.834973	0.000000	0.001350
83	0.835455	0.000000	0.000627
84	0.835069	0.000000	0.000820
85	0.832948	0.000000	0.002749
86	0.832755	0.000000	0.004967
87	0.833526	0.000000	0.005401
88	0.822724	0.000000	0.005401
89	0.830440	0.000000	0.004292
90	0.834201	0.000000	0.008391
91	0.830440	0.000000	0.003665
92	0.824749	0.000000	0.002749
93	0.827932	0.000000	0.000434
94	0.831115	0.000000	-0.000434
95	0.834780	0.000000	-0.000145
96	0.831308	0.000000	-0.005691
97	0.832272	0.000000	-0.004581
98	0.829765	0.000000	0.001157
99	0.834877	0.000000	0.001109
100	0.834394	0.000000	-0.002604
101	0.837095	0.000000	0.001399
102	0.835648	0.000000	0.000530
103	0.838059	0.000000	0.000386
104	0.843461	0.000000	-0.006125
105	0.845486	0.000000	-0.002508
106	0.842400	0.000000	-0.004533
107	0.841049	0.000000	-0.002797
108	0.844715	0.000000	-0.003569
109	0.842978	0.000000	-0.003424
110	0.846836	0.000000	-0.003472
111	0.847126	0.000000	-0.004196
112	0.845872	0.000000	-0.000096
113	0.847222	0.000000	-0.001399
114	0.838059	0.000000	0.001736
115	0.832465	0.000000	0.000723
116	0.833140	0.000000	0.004919
117	0.836613	0.000000	0.004774
118	0.841242	0.000000	0.003520
119	0.842785	0.000000	-0.000193
120	0.843364	0.000000	-0.000820
121	0.840856	0.000000	0.002315
122	0.845100	0.000000	0.003328
123	0.840567	0.000000	0.008488
124	0.838349	0.000000	0.007089
125	0.839313	0.000000	0.009163
126	0.842207	0.000000	0.008005
127	0.834780	0.000000	0.006848
