# tiempo	energia_plaqueta	w10	magnetizacion
1	0.368538	0.003279	-0.001254
2	0.527585	-0.009645	0.000868
3	0.612654	-0.008198	0.001206
4	0.661651	0.000579	0.005015
5	0.703414	0.006462	0.007427
6	0.735725	0.000000	0.008343
7	0.745660	0.004630	0.007427
8	0.753279	0.000579	0.003713
9	0.770448	0.011863	0.006462
10	0.781732	-0.005691	0.009693
11	0.778356	0.005498	0.012587
12	0.782022	-0.008777	0.008777
13	0.783758	-0.001157	0.006366
14	0.789255	0.010417	-0.000868
15	0.792824	-0.007523	-0.000386
16	0.800733	0.000675	-0.002267
17	0.807388	0.002894	0.000820
18	0.804784	0.001543	0.003858
19	0.808642	0.009645	0.005401
20	0.817612	0.008295	0.003569
21	0.828029	0.000868	0.003665
22	0.824363	0.000868	0.001784
23	0.826292	0.002701	0.004581
24	0.829186	-0.002990	0.008343
25	0.838927	0.000579	0.001977
26	0.837288	-0.001736	0.005546
27	0.834877	0.012635	0.004533
28	0.836323	-0.003279	0.006173
29	0.830150	-0.003858	0.007186
30	0.826968	0.015914	0.007668
31	0.831790	0.000579	0.009115
32	0.836709	0.000772	0.008295
33	0.836806	-0.005015	0.010610
34	0.838349	-0.001736	0.009211
35	0.844522	0.010706	0.010320
36	0.837963	0.007427	0.004051
37	0.838735	0.002797	0.002218
38	0.832176	-0.000096	0.004678
39	0.834973	-0.000386	0.002459
40	0.833719	-0.003086	0.003328
41	0.834298	0.007909	0.003569
42	0.833526	0.002797	0.001543
43	0.836034	-0.002025	0.004823
44	0.835455	-0.005208	0.004340
45	0.837288	0.009838	0.006414
46	0.837288	0.005112	0.005787
47	0.833333	-0.010513	0.010031
48	0.837095	0.012056	0.009018
49	0.834201	0.007523	0.006993
50	0.833816	0.003279	0.000965
51	0.832562	0.002894	-0.002122
52	0.829572	-0.005980	-0.002604
53	0.830440	-0.003183	-0.004003
54	0.835648	-0.001157	-0.000530
55	0.834394	-0.005980	-0.000965
56	0.834973	0.004147	-0.002267
57	0.821181	0.009742	0.001784
58	0.827353	-0.002894	0.002845
59	0.831501	-0.001447	0.000289
60	0.835841	0.006173	0.002894
61	0.841242	0.001833	0.003424
62	0.841146	-0.002797	0.002556
63	0.839410	-0.001929	-0.002652
64	0.841917	-0.001640	-0.001688
65	0.840374	-0.008970	0.002170
66	0.837095	0.002122	-0.000868
67	0.836420	0.000193	-0.002122
68	0.838156	0.000000	-0.000675
69	0.838735	0.002122	0.003231
70	0.833912	-0.003279	-0.005160
71	0.837674	0.000289	-0.000965
72	0.834105	-0.005594	-0.003038
73	0.827064	0.004630	-0.001061
74	0.830729	-0.004051	-0.002074
75	0.828414	-0.002894	-0.003086
76	0.826292	-0.000289	-0.008729
77	0.825714	0.005883	-0.009307
78	0.827160	-0.013407	-0.006173
79	0.832755	-0.014660	-0.008150
80	0.832369	-0.002604	-0.003713
81	0.833430	0.003762	-0.009211
82	0.832658	0.002315	-0.006366
83	0.831115	0.003858	-0.004774
84	0.840760	0.006655	-0.003569
85	0.846065	0.002894	-0.007957
86	0.846161	-0.010610	-0.010224
87	0.843364	0.003376	-0.006655
88	0.839410	0.000482	-0.004244
89	0.834008	-0.001254	-0.002315
90	0.839024	0.003376	0.000772
91	0.840374	0.000482	-0.001109
92	0.845100	-0.002025	-0.003183
93	0.842882	-0.005787	-0.004678
94	0.837867	0.013889	0.000289
95	0.834298	-0.003376	-0.001350
96	0.831790	-0.006076	0.001833
97	0.831404	0.001447	0.002604
98	0.830343	-0.000579	-0.002218
99	0.829572	-0.003569	-0.000868
100	0.832851	-0.003858	-0.001784
101	0.838252	0.002122	-0.005015
102	0.840278	-0.005787	-0.012876
103	0.839217	-0.008005	-0.009838
104	0.830826	-0.002315	-0.011285
105	0.826968	0.002411	-0.006510
106	0.830150	0.008102	-0.005691
107	0.833912	0.000579	-0.006752
108	0.827836	-0.000579	-0.002942
109	0.830729	0.000868	0.000000
110	0.836420	0.007523	-0.001543
111	0.832176	-0.003954	-0.001736
112	0.827064	-0.000096	-0.006655
113	0.829475	-0.005305	-0.008054
114	0.829090	0.009934	-0.000145
115	0.833912	-0.001543	-0.005498
116	0.836130	-0.010995	-0.000868
117	0.834491	-0.007620	-0.004099
118	0.834491	-0.002218	-0.009211
119	0.834008	0.011960	-0.005594
120	0.830826	-0.009066	-0.008005
121	0.825810	-0.000386	-0.006944
122	0.824363	-0.013985	-0.007861
123	0.829186	0.011092	-0.006703
124	0.831790	-0.003762	-0.007427
125	0.832562	0.003472	-0.006896
126	0.836130	-0.003086	-0.005160
127	0.832176	0.006366	0.001977
128	0.828511	0.000675	0.001399
129	0.834008	0.003569	0.002894
130	0.833430	-0.002025	0.001254
131	0.832176	0.000000	0.002267
132	0.830922	-0.004147	0.004051
133	0.831597	-0.000386	0.004774
134	0.835648	-0.009452	0.002942
135	0.832851	0.005015	0.002556
136	0.827064	0.003472	0.000000
137	0.832369	0.001929	-0.001977
138	0.832562	0.010802	-0.001688
139	0.834008	0.003762	0.000675
140	0.829958	-0.003183	-0.000289
141	0.828607	-0.000675	-0.000916
142	0.828897	0.007234	0.002025
143	0.822627	-0.003569	-0.002025
144	0.820602	0.002218	0.000193
145	0.819348	-0.005401	-0.000193
146	0.821566	0.000193	0.000289
147	0.819252	-0.012731	-0.000048
148	0.823399	-0.002508	0.007909
149	0.826389	-0.010610	0.006703
150	0.827257	-0.002604	0.005064
151	0.828318	-0.005691	0.002701
152	0.831115	-0.002508	0.004099
153	0.828029	0.006366	0.005064
154	0.828221	-0.002797	0.007089
155	0.828993	0.001543	0.006848
156	0.838349	0.003569	0.004099
157	0.837481	0.006752	0.002459
158	0.827450	0.008873	0.004147
159	0.837770	-0.004630	0.002363
160	0.834877	-0.003762	0.000000
161	0.837963	0.005015	-0.000434
162	0.836806	0.004823	0.005835
163	0.834780	0.006559	0.001302
164	0.831211	0.000000	-0.002218
165	0.831983	0.003279	0.002267
166	0.834105	0.005112	0.000048
167	0.828607	-0.003086	-0.003424
168	0.826003	0.013792	-0.004292
169	0.830729	0.001157	0.001543
170	0.827257	-0.005980	0.005883
171	0.827257	-0.007813	0.002074
172	0.821759	-0.001157	0.002508
173	0.819444	0.003472	0.001784
174	0.819541	0.002411	0.001061
175	0.823110	-0.001640	0.004871
176	0.819252	-0.006655	-0.001302
177	0.814815	-0.003954	0.000338
178	0.818191	-0.003376	0.000289
179	0.816069	0.006559	-0.002363
180	0.818094	0.001061	-0.003231
181	0.813272	-0.004051	-0.007668
182	0.819252	-0.000772	-0.005208
183	0.821663	0.002411	-0.007813
184	0.825135	-0.003086	-0.009211
185	0.826775	0.019483	-0.006703
186	0.827643	-0.001640	-0.009742
187	0.826582	0.000289	-0.009645
188	0.825617	-0.001543	-0.006800
189	0.825039	0.006366	-0.008391
190	0.838349	0.001350	-0.008439
191	0.836902	0.001543	-0.007909
192	0.840181	-0.005498	-0.010272
193	0.839024	-0.014371	-0.007475
194	0.830247	-0.011188	-0.007089
195	0.826485	-0.011767	-0.002411
196	0.826292	0.002025	-0.004196
197	0.824363	-0.001833	-0.002267
198	0.826582	0.008681	-0.000965
199	0.820891	-0.000193	-0.003617
200	0.816358	-0.001543	-0.004919
201	0.822434	-0.002990	-0.007957
202	0.819830	-0.001254	-0.006944
203	0.819155	0.000289	-0.005546
204	0.821759	-0.000675	-0.004485
205	0.826871	-0.000965	-0.003665
206	0.828800	0.007716	-0.007571
207	0.830343	-0.011478	-0.008873
208	0.834008	0.002411	-0.006800
209	0.827064	0.009356	-0.009115
210	0.831211	-0.002025	-0.006414
211	0.826196	0.006269	-0.006703
212	0.831790	0.002122	-0.007475
213	0.828029	-0.008681	-0.007330
214	0.830247	0.003472	-0.008584
215	0.833237	-0.001929	-0.008632
216	0.830536	0.004630	-0.008102
217	0.825424	0.004919	-0.005112
218	0.826003	-0.006752	-0.006125
219	0.825424	0.007716	-0.008150
220	0.828607	-0.002701	-0.004485
221	0.828704	0.000193	-0.000820
222	0.828607	0.003569	-0.003376
223	0.821856	-0.000482	0.004292
224	0.818287	0.000193	-0.001302
225	0.817515	-0.003086	0.003279
226	0.823785	0.000000	0.003183
227	0.828511	-0.010127	0.006993
228	0.828800	0.000675	0.008970
229	0.835745	-0.004823	0.005015
230	0.834008	-0.009356	0.006318
231	0.832176	-0.009356	0.010127
232	0.832562	0.002315	0.009211
233	0.828125	-0.015721	0.007137
234	0.825907	0.005208	0.008970
