# tiempo	energia_plaqueta	w10	magnetizacion
1	0.361883	-0.009259	-0.000916
2	0.525656	0.000482	0.002170
3	0.607928	0.003183	0.002749
4	0.663002	-0.008005	-0.001977
5	0.702160	0.008005	-0.004244
6	0.730613	0.000772	0.000916
7	0.748167	0.004437	0.003424
8	0.765818	0.007330	0.002267
9	0.769290	-0.009163	0.006318
10	0.786458	0.001061	0.006607
11	0.795525	0.006076	-0.000386
12	0.800444	-0.000965	-0.002267
13	0.811535	-0.005208	0.002701
14	0.812211	-0.002122	-0.000868
15	0.814525	0.003954	-0.001109
16	0.810185	0.001640	0.001640
17	0.813465	-0.009259	0.004099
18	0.812211	0.005112	-0.001206
19	0.818673	0.000193	0.005932
20	0.819734	0.002315	0.001833
21	0.817805	-0.005305	0.004147
22	0.821663	-0.002508	0.001109
23	0.821566	0.008295	-0.001929
24	0.825328	-0.000386	-0.000096
25	0.832465	-0.002797	0.000145
26	0.828511	0.003376	-0.000386
27	0.833816	0.005787	0.000820
28	0.828029	-0.005401	0.000338
29	0.831983	0.006269	0.001350
30	0.828800	-0.000772	-0.005112
31	0.825424	0.001157	-0.005401
32	0.833816	0.006944	-0.004678
33	0.838156	-0.002508	-0.000434
34	0.835648	0.003762	-0.006028
35	0.842978	0.007137	-0.009693
36	0.833719	-0.004919	-0.010176
37	0.833719	-0.003569	-0.010320
38	0.831887	0.005305	-0.006896
39	0.828800	0.008102	-0.001688
40	0.831308	0.000579	-0.000530
41	0.833140	-0.001833	0.002218
42	0.832851	-0.006366	0.001447
43	0.835552	0.000386	0.004340
44	0.841532	0.000675	-0.002508
45	0.839506	0.002701	-0.002508
46	0.836613	0.001157	-0.004196
47	0.835166	-0.003858	-0.002604
48	0.833623	0.008488	-0.007186
49	0.832176	-0.008198	-0.003328
50	0.831115	0.007234	-0.001350
51	0.828704	0.001350	0.002942
52	0.833333	-0.002025	0.002749
53	0.828607	0.005594	0.004919
54	0.828221	-0.006752	0.002845
55	0.822145	0.000386	0.004533
56	0.823688	0.002508	0.002218
57	0.831404	-0.011960	-0.003038
58	0.830440	-0.007813	-0.000386
59	0.832176	-0.005015	-0.002749
60	0.838445	-0.003472	-0.003472
61	0.834587	-0.003762	-0.000916
62	0.831597	0.000965	-0.002025
63	0.831404	-0.005787	0.001350
64	0.824460	0.009934	0.002797
65	0.828029	0.001543	0.006028
66	0.825617	0.001736	0.009452
67	0.828607	-0.002508	0.002315
68	0.829668	0.013889	0.003713
69	0.829958	0.003472	-0.002508
70	0.834491	0.008584	0.001157
71	0.840567	-0.001543	0.001881
72	0.834105	0.004823	0.002990
73	0.833140	-0.006944	0.011622
74	0.833333	0.001736	0.004099
75	0.834780	0.001254	0.002604
76	0.830247	0.000386	0.003713
77	0.831597	0.008488	0.004533
78	0.821084	-0.005112	0.005642
