# tiempo	energia_plaqueta	O10	magnetizacion
1	0.366995	0.000000	-0.004726
2	0.522762	0.000000	0.000723
3	0.618731	0.000000	-0.000434
4	0.674961	0.000000	0.004196
5	0.711420	0.000000	0.001784
6	0.735436	0.000000	0.003810
7	0.752894	0.000000	0.002508
8	0.766011	0.000000	0.009742
9	0.780382	0.000000	0.001736
10	0.781636	0.000000	0.010176
11	0.783565	0.000000	0.013792
12	0.787326	0.000000	0.009500
13	0.798322	0.000000	0.006944
14	0.804591	0.000000	0.005932
15	0.812404	0.000000	0.005305
16	0.809703	0.000000	0.002604
17	0.812114	0.000000	0.006366
18	0.809028	0.000000	0.002701
19	0.814718	0.000000	0.005883
20	0.817130	0.000000	0.002025
21	0.814911	0.000000	0.003086
22	0.818769	0.000000	-0.002604
23	0.820409	0.000000	-0.004581
24	0.821566	0.000000	-0.003906
25	0.825424	0.000000	-0.008584
26	0.820120	0.000000	-0.008970
27	0.817708	0.000000	-0.009886
28	0.828704	0.000000	-0.006076
29	0.825039	0.000000	-0.008295
30	0.826582	0.000000	-0.005257
31	0.831308	0.000000	-0.002411
32	0.827836	0.000000	-0.001447
33	0.831887	0.000000	-0.001254
34	0.825231	0.000000	-0.001013
35	0.830633	0.000000	0.001061
36	0.826196	0.000000	0.002508
37	0.831597	0.000000	0.002942
38	0.823302	0.000000	0.005257
39	0.822531	0.000000	0.004437
40	0.822724	0.000000	0.001736
41	0.824942	0.000000	0.002942
42	0.829668	0.000000	-0.001736
43	0.828511	0.000000	0.001109
44	0.826100	0.000000	-0.000530
45	0.829572	0.000000	0.001591
46	0.831501	0.000000	-0.002025
47	0.831501	0.000000	0.001495
48	0.831019	0.000000	0.001447
49	0.830150	0.000000	0.002363
50	0.826968	0.000000	0.001061
51	0.828318	0.000000	-0.001109
52	0.828607	0.000000	-0.005353
53	0.823881	0.000000	-0.002363
54	0.826775	0.000000	-0.001206
55	0.822917	0.000000	0.001302
56	0.812982	0.000000	-0.004292
57	0.825714	0.000000	-0.002267
58	0.827064	0.000000	-0.001254
59	0.824653	0.000000	-0.002894
60	0.823688	0.000000	-0.004196
61	0.823399	0.000000	-0.000482
62	0.821373	0.000000	-0.000289
63	0.813561	0.000000	-0.004244
64	0.814043	0.000000	0.000241
65	0.822531	0.000000	-0.002652
66	0.822434	0.000000	-0.000772
67	0.825231	0.000000	0.000289
68	0.826582	0.000000	-0.002267
69	0.828993	0.000000	0.000193
70	0.822434	0.000000	-0.003086
71	0.825617	0.000000	0.000579
72	0.831694	0.000000	-0.000482
73	0.832755	0.000000	0.001881
74	0.834780	0.000000	-0.002411
75	0.832562	0.000000	-0.001061
76	0.834298	0.000000	-0.002894
77	0.831694	0.000000	-0.001784
78	0.831887	0.000000	0.000530
79	0.835648	0.000000	-0.001254
80	0.836227	0.000000	-0.001640
81	0.837577	0.000000	-0.004967
82	0.837288	0.000000	-0.003231
83	0.829765	0.000000	-0.000579
84	0.827932	0.000000	0.003472
85	0.826389	0.000000	0.005112
86	0.830633	0.000000	0.003231
87	0.833816	0.000000	0.002170
88	0.834587	0.000000	-0.000289
89	0.834298	0.000000	-0.000965
90	0.836902	0.000000	0.000193
91	0.837288	0.000000	-0.002267
92	0.836227	0.000000	-0.003858
93	0.832658	0.000000	-0.003617
94	0.837770	0.000000	-0.006125
95	0.840278	0.000000	-0.002604
96	0.844715	0.000000	-0.005980
97	0.844522	0.000000	-0.007234
98	0.838831	0.000000	-0.006269
99	0.845004	0.000000	-0.004485
100	0.849344	0.000000	-0.006318
101	0.846644	0.000000	-0.007137
102	0.841725	0.000000	-0.003279
103	0.841435	0.000000	-0.002170
104	0.840181	0.000000	-0.001302
105	0.839892	0.000000	-0.000241
106	0.833044	0.000000	0.000241
107	0.832369	0.000000	-0.001157
108	0.837867	0.000000	-0.004196
109	0.836227	0.000000	-0.000289
110	0.838735	0.000000	-0.004051
111	0.841917	0.000000	0.000145
112	0.837095	0.000000	0.004003
113	0.835069	0.000000	0.005449
114	0.839313	0.000000	0.001881
115	0.842593	0.000000	0.004533
116	0.838927	0.000000	0.003183
117	0.840567	0.000000	0.004292
118	0.844715	0.000000	0.006125
119	0.841242	0.000000	0.004871
120	0.833044	0.000000	0.001543
121	0.835166	0.000000	0.004099
122	0.829861	0.000000	0.002315
123	0.834973	0.000000	0.004244
124	0.837867	0.000000	0.001591
125	0.837577	0.000000	0.006800
126	0.836516	0.000000	0.002845
127	0.839988	0.000000	0.000723
128	0.839120	0.000000	0.001929
129	0.836613	0.000000	-0.000193
130	0.835745	0.000000	0.001543
131	0.835455	0.000000	0.000386
132	0.832465	0.000000	0.001399
133	0.831983	0.000000	0.002942
134	0.820120	0.000000	-0.000048
135	0.820409	0.000000	0.002459
136	0.815586	0.000000	-0.002701
137	0.822917	0.000000	-0.003038
138	0.820313	0.000000	-0.002411
139	0.819927	0.000000	0.001591
140	0.821084	0.000000	0.004147
141	0.818287	0.000000	0.000965
142	0.824267	0.000000	0.003424
143	0.823881	0.000000	0.004244
144	0.827643	0.000000	0.001109
145	0.824556	0.000000	0.003569
146	0.825424	0.000000	0.006752
147	0.819637	0.000000	0.008054
148	0.825039	0.000000	0.008488
149	0.830054	0.000000	0.010995
150	0.829282	0.000000	0.008825
151	0.830150	0.000000	0.004726
152	0.828221	0.000000	0.002701
153	0.832948	0.000000	0.001447
154	0.827450	0.000000	0.001543
155	0.825328	0.000000	-0.000434
