# tiempo	energia_plaqueta	w10	magnetizacion
1	0.376350	0.008102	0.002701
2	0.528164	0.001543	0.004099
3	0.615162	-0.002990	-0.001206
4	0.678048	0.002508	-0.004630
5	0.706501	-0.000868	-0.007330
6	0.732542	0.012924	-0.003520
7	0.746721	-0.003665	0.000193
8	0.765529	-0.001350	0.001833
9	0.778356	0.002315	-0.003810
10	0.779128	-0.003858	-0.001881
11	0.794271	-0.003279	-0.006366
12	0.796682	0.001061	-0.002218
13	0.795139	-0.007716	0.002508
14	0.800540	0.003183	0.007186
15	0.802758	0.004340	0.006607
16	0.806520	-0.005594	0.008681
17	0.806134	-0.001350	0.008632
18	0.812982	-0.002315	0.009356
19	0.819155	0.010031	0.010947
20	0.818094	-0.001157	0.005932
21	0.818191	-0.001254	0.007475
22	0.816069	0.009645	0.002942
23	0.818191	-0.004823	-0.000338
24	0.815586	-0.008681	-0.003569
25	0.823495	-0.006173	-0.002990
26	0.822724	0.005112	0.000675
27	0.821277	-0.000193	0.000434
28	0.825907	0.009838	0.001399
29	0.827450	0.003569	0.005208
30	0.825617	0.001929	0.006944
31	0.825617	0.005594	0.010176
32	0.834394	-0.004533	0.007716
33	0.835938	0.002411	0.008825
34	0.838349	-0.003376	0.005449
35	0.833816	-0.010224	0.008343
36	0.832465	0.015336	0.004147
37	0.832562	-0.003279	0.001157
38	0.833237	0.000386	0.007089
39	0.834684	-0.003376	0.005787
40	0.834684	0.005980	0.007813
41	0.834877	0.004533	0.006028
42	0.832851	0.004823	0.004774
43	0.839410	-0.001350	0.007137
44	0.832562	-0.005883	0.006944
45	0.826775	0.001447	0.006221
46	0.827450	-0.000675	0.011574
47	0.827064	-0.003183	0.007813
48	0.826582	-0.009645	0.003086
49	0.826003	0.001833	0.004823
50	0.826678	-0.011671	-0.001254
51	0.823978	-0.004533	0.002459
52	0.827257	-0.001736	0.000530
53	0.831790	-0.011671	0.002315
54	0.831597	-0.007523	0.002990
55	0.839313	0.001543	0.002894
56	0.839699	-0.003954	0.001495
57	0.840760	0.009934	0.003762
58	0.839603	0.004147	-0.004099
59	0.847512	0.012539	-0.004099
60	0.842785	0.004437	-0.001881
61	0.851080	0.009645	0.000289
62	0.852334	-0.004147	-0.001399
63	0.855806	0.004244	0.000241
64	0.849248	0.000772	-0.000579
65	0.847897	-0.001929	-0.002749
66	0.847319	-0.001929	-0.001591
67	0.844618	-0.004340	-0.001736
68	0.843461	0.001254	0.001157
69	0.840085	0.005208	0.002459
70	0.844136	-0.004051	0.002363
71	0.846740	0.000386	-0.003279
72	0.852431	-0.002797	-0.000916
73	0.850405	-0.001350	-0.001688
74	0.845775	0.003858	-0.000338
75	0.844425	-0.005980	0.003617
76	0.849537	0.005015	0.000627
77	0.847029	0.002604	0.001977
78	0.847126	-0.000096	0.000675
79	0.841242	-0.003954	-0.000965
80	0.836709	0.010031	-0.002025
81	0.841917	-0.002508	-0.002170
82	0.834973	-0.008488	-0.001302
83	0.833623	0.002218	-0.002604
84	0.840567	-0.002218	-0.002025
85	0.839410	0.006462	-0.000627
86	0.832562	-0.009259	-0.004678
87	0.833237	0.002894	-0.001013
88	0.831404	0.000868	0.001399
89	0.824267	0.005208	0.000627
90	0.824460	-0.007330	0.001736
91	0.822145	-0.004051	0.003183
92	0.824171	-0.002025	-0.002170
93	0.825521	-0.008584	0.000675
94	0.825424	-0.005883	-0.002025
95	0.827546	-0.003954	-0.003858
96	0.822434	-0.004630	-0.000386
97	0.822820	-0.002797	-0.000145
98	0.818383	0.001254	-0.001495
99	0.819155	-0.007523	0.001688
100	0.819444	-0.001254	-0.000820
101	0.818673	0.004147	-0.001591
102	0.817612	-0.001929	0.001977
103	0.817805	0.002701	0.004099
104	0.819252	-0.003279	0.003231
105	0.824074	0.008198	0.001061
106	0.823495	0.006366	-0.000386
107	0.822434	0.000772	0.001447
108	0.823881	0.005594	0.005160
109	0.824267	-0.001640	0.005160
110	0.826003	0.005208	0.002218
111	0.824267	-0.001061	-0.000048
112	0.824267	-0.001736	-0.003231
113	0.823206	0.003376	-0.005401
114	0.817323	0.006269	-0.005257
115	0.820602	-0.003954	-0.000675
116	0.832948	-0.007234	-0.000723
117	0.825039	0.003376	0.002459
118	0.827064	-0.003858	0.004003
119	0.825231	0.006559	0.004871
120	0.825039	0.005980	0.000916
121	0.823688	-0.008198	-0.000820
122	0.829958	0.002990	0.000145
123	0.824171	0.002894	0.002218
124	0.826292	0.005980	0.000482
125	0.827643	-0.006462	0.002749
126	0.827932	-0.018229	-0.000820
127	0.819348	0.001447	0.002459
128	0.822917	0.001061	0.002122
129	0.824267	0.003762	0.001447
130	0.832272	-0.005883	0.000338
131	0.832079	0.006269	0.000241
132	0.829282	0.004823	-0.001784
133	0.827450	0.007041	0.001784
134	0.831308	0.006752	-0.000820
135	0.826389	-0.002894	0.001206
136	0.826196	-0.008391	0.000868
137	0.825039	0.012924	0.001640
138	0.837481	0.004340	0.001977
139	0.833526	-0.002218	-0.000772
140	0.827932	-0.002411	0.001929
