105	0.831019	-0.002256	0.004678
210	0.826871	-0.000264	0.001736
315	0.830343	-0.000162	-0.002315
420	0.844329	0.002681	-0.007089
525	0.816840	0.003001	0.008873
630	0.826389	-0.002048	0.008102
735	0.835841	0.000665	0.005932
840	0.841242	-0.000455	-0.003183
945	0.844136	0.001058	-0.005305
1050	0.836806	0.000566	0.004823
1155	0.834298	-0.000494	-0.006366
1260	0.844136	0.004408	0.007137
1365	0.822434	0.000285	-0.000723
1470	0.830150	0.001234	-0.003038
1575	0.828607	-0.000141	-0.000627
1680	0.831694	-0.000565	0.001495
1785	0.819637	-0.000961	-0.001591
1890	0.826582	-0.001122	-0.005691
1995	0.827643	0.001980	-0.001399
2100	0.830922	0.001038	0.001543
2205	0.825039	0.000653	-0.004051
2310	0.837770	0.001131	-0.002122
2415	0.823592	0.000452	0.001447
2520	0.822724	0.001393	-0.003617
2625	0.830922	0.000610	0.002701
2730	0.818480	0.000674	0.007041
2835	0.846354	0.003401	-0.005449
2940	0.836902	-0.000354	-0.006752
3045	0.839024	-0.002090	0.004003
3150	0.824171	-0.001587	0.003183
3255	0.840181	-0.001635	-0.002074
3360	0.839988	-0.003231	-0.000289
3465	0.841049	0.002118	0.009886
3570	0.834684	0.002715	-0.001109
3675	0.838059	0.001070	-0.000338
3780	0.834394	-0.000848	-0.006173
3885	0.844039	0.004340	0.001881
3990	0.838638	0.000025	0.003858
4095	0.827739	0.000087	0.008198
4200	0.844811	0.002660	0.006510
4305	0.823013	0.001258	0.004678
4410	0.829186	-0.000647	-0.007234
4515	0.827353	0.000196	0.000193
4620	0.828318	-0.001440	-0.008681
4725	0.830150	0.000814	-0.003569
4830	0.815297	0.000272	-0.005594
4935	0.828029	0.000362	0.002749
5040	0.829282	-0.000117	0.002315
5145	0.835648	0.001352	-0.002363
5250	0.827257	0.000317	0.003954
5355	0.830729	0.001053	-0.003038
5460	0.830826	0.000248	-0.005449
5565	0.828800	0.001722	0.002411
5670	0.833816	0.002353	-0.003328
5775	0.818383	-0.000722	-0.003086
5880	0.826871	0.000890	-0.003038
5985	0.820505	-0.000601	0.001013
6090	0.833816	0.000241	0.007716
6195	0.823206	0.001132	0.002845
6300	0.826003	-0.000324	0.013262
6405	0.828511	-0.001416	0.008970
6510	0.828897	0.003511	-0.002797
6615	0.821759	0.001373	0.005787
6720	0.827546	0.001217	-0.005208
6825	0.832948	-0.000758	0.001784
6930	0.827739	-0.001236	-0.003135
7035	0.821952	0.000044	0.003328
7140	0.842785	-0.000333	-0.007282
7245	0.840278	0.000848	0.002025
7350	0.812114	-0.000307	0.001109
7455	0.829090	0.000060	0.005594
7560	0.827739	0.000787	-0.004774
7665	0.829379	-0.001073	-0.008150
7770	0.830440	-0.000582	-0.008873
7875	0.824653	-0.000022	-0.007475
7980	0.825039	0.000669	0.003328
8085	0.837867	0.001789	0.009934
8190	0.836227	0.002264	-0.000338
8295	0.820409	0.000990	0.006800
8400	0.821084	-0.000534	-0.000193
8505	0.823688	0.000007	0.008729
8610	0.822820	-0.000427	-0.010610
8715	0.834491	-0.000884	-0.000965
8820	0.817323	-0.000544	0.009983
8925	0.819348	0.002129	-0.000820
9030	0.817130	0.001020	0.009742
9135	0.836034	0.001182	-0.000241
9240	0.845390	0.000498	-0.000096
9345	0.832851	0.000249	0.002315
9450	0.825521	0.001039	0.001881
9555	0.835455	-0.000671	-0.001447
9660	0.831597	-0.000113	-0.003424
9765	0.830922	0.000744	0.005739
9870	0.835455	-0.000626	0.003858
9975	0.825617	0.000028	-0.002942
10080	0.834298	0.002736	-0.009307
10185	0.829958	0.000177	0.003954
10290	0.829090	0.000061	-0.008584
10395	0.836998	-0.001035	0.001640
10500	0.821663	0.001228	0.001688
10605	0.825907	0.001942	0.000048
10710	0.835359	0.001260	-0.001640
10815	0.833623	0.000851	-0.003810
10920	0.819830	0.001843	-0.005353
11025	0.831404	0.001196	0.004003
11130	0.834008	-0.001078	-0.006366
11235	0.833912	-0.001592	-0.005160
11340	0.839120	0.000442	0.002025
11445	0.835262	0.000636	-0.006028
11550	0.840760	0.001465	-0.003810
11655	0.842978	-0.002679	0.004630
11760	0.831404	-0.001022	-0.000579
11865	0.828029	-0.000388	0.004437
11970	0.816744	0.000382	0.000530
12075	0.840471	-0.000680	0.002701
12180	0.840664	-0.001449	0.000000
12285	0.830729	-0.001544	0.004485
12390	0.825521	0.000030	-0.001206
12495	0.827546	-0.000965	0.003472
12600	0.830150	-0.002200	0.001157
12705	0.823592	0.000222	0.006028
12810	0.826292	-0.003036	-0.005353
12915	0.825907	-0.002000	0.005064
13020	0.820505	0.000137	-0.003279
13125	0.835455	0.000048	0.001833
13230	0.823592	-0.000202	-0.004871
13335	0.840953	-0.001056	0.000579
13440	0.834298	0.003212	-0.008873
13545	0.823399	-0.000761	0.001061
13650	0.836709	-0.000344	0.005401
13755	0.817515	0.000646	-0.000434
13860	0.827257	-0.001973	0.004533
13965	0.823013	-0.000126	-0.006510
14070	0.839313	-0.001034	-0.003954
14175	0.830729	-0.001442	0.003279
14280	0.817708	0.001688	-0.007620
14385	0.825039	0.000405	-0.001977
14490	0.830922	-0.000742	-0.000772
14595	0.832465	-0.000034	0.000723
14700	0.844907	-0.001471	-0.002749
14805	0.818383	0.000191	-0.003279
14910	0.832176	-0.000406	-0.002363
15015	0.847222	-0.001449	0.001254
15120	0.836516	-0.000219	0.000627
15225	0.831404	0.000801	-0.003858
15330	0.827257	-0.001251	0.006703
15435	0.828125	0.003478	0.000868
15540	0.832465	-0.002627	0.001399
15645	0.830343	0.000492	0.007668
15750	0.834298	-0.003628	0.004389
15855	0.832272	0.002092	-0.002315
15960	0.828993	0.001234	0.002267
16065	0.819637	0.000283	-0.006703
