# tiempo	mean_var1	std_var1	mean_var2	std_var2	mean_var3	std_var3	mean_var4	std_var4	mean_var5	std_var5	mean_var6	std_var6	mean_var7	std_var7	mean_var8	std_var8	mean_var9	std_var9	mean_var10	std_var10	mean_var11	std_var11
1573	0.737519	0.081636	0.000628	0.000541	0.001370	0.000665	632.000000	199.223493	0.768364	0.051851	-0.000064	0.000265	0.001582	0.001316	633.000000	199.223493	0.786593	0.037673	-0.000005	0.000422	0.001717	0.000539
1576	0.796335	0.027965	-0.000025	0.000252	0.001206	0.001281	635.000000	199.223493	0.803530	0.021540	-0.000799	0.000457	0.002006	0.001155	636.000000	199.223493	0.813657	0.016748	0.000096	0.000465	0.002681	0.000907
1579	0.813542	0.013679	0.000280	0.000722	0.003202	0.001100	638.000000	199.223493	0.815934	0.011716	-0.000134	0.000448	0.003916	0.001803	639.000000	199.223493	0.815432	0.010233	0.000139	0.000399	0.002807	0.002495
1582	0.818075	0.008696	-0.000675	0.000406	0.001697	0.002405	641.000000	199.223493	0.819174	0.005783	-0.000789	0.000304	0.002701	0.002891	642.000000	199.223493	0.823013	0.004385	-0.000092	0.000445	0.001534	0.002191
1585	0.823148	0.004242	0.000545	0.000453	0.000646	0.002310	644.000000	199.223493	0.823476	0.004788	-0.000130	0.000677	-0.000386	0.002705	645.000000	199.223493	0.822550	0.004319	0.000432	0.000312	-0.000772	0.001671
1588	0.824402	0.003919	0.000020	0.000381	0.000627	0.002146	647.000000	199.223493	0.825829	0.004231	0.000085	0.000319	0.000270	0.002584	648.000000	199.223493	0.825096	0.004998	0.000359	0.000386	-0.000222	0.002963
1591	0.824170	0.002868	0.000721	0.000184	-0.000849	0.003535	650.000000	199.223493	0.828627	0.002398	-0.000122	0.000480	0.000155	0.003211	651.000000	199.223493	0.829282	0.002018	-0.000625	0.000229	0.001321	0.002536
1594	0.829996	0.002311	-0.000176	0.000487	0.002729	0.002941	653.000000	199.223493	0.829649	0.001381	0.000476	0.000761	0.001514	0.003001	654.000000	199.223493	0.829745	0.001632	-0.000512	0.000467	0.003009	0.002607
1597	0.829861	0.002042	-0.000359	0.000286	0.001794	0.002207	656.000000	199.223493	0.829842	0.002078	0.000053	0.000544	0.002701	0.002434	657.000000	199.223493	0.830517	0.003324	0.000185	0.000210	0.002759	0.003059
1600	0.830073	0.004622	-0.000377	0.000571	0.002778	0.002671	659.000000	199.223493	0.830035	0.003912	-0.000789	0.000624	0.003521	0.002728	660.000000	199.223493	0.828627	0.003714	0.000403	0.000623	0.002517	0.001835
1603	0.826582	0.003591	-0.000458	0.000828	0.002923	0.001886	662.000000	199.223493	0.826813	0.002728	-0.000219	0.000387	0.002161	0.002030	663.000000	199.223493	0.826717	0.002444	-0.000098	0.000201	0.000106	0.002132
1606	0.827218	0.003077	-0.000287	0.000512	-0.000714	0.001943	665.000000	199.223493	0.827161	0.003568	0.000664	0.000781	0.001350	0.001852	666.000000	199.223493	0.827180	0.003211	0.000481	0.000747	0.000318	0.002109
1609	0.827489	0.003485	0.000041	0.000445	0.000849	0.002317	668.000000	199.223493	0.828434	0.003676	0.000095	0.000465	0.000781	0.001777	669.000000	199.223493	0.828685	0.004018	-0.000722	0.000557	-0.000955	0.001451
1612	0.829282	0.003747	-0.000972	0.000398	0.000357	0.001165	671.000000	199.223493	0.828935	0.003389	0.000109	0.000357	0.001534	0.001901	672.000000	199.223493	0.830401	0.002732	0.000754	0.000387	0.001418	0.001807
1615	0.825174	0.003387	0.000308	0.000290	0.001051	0.002279	674.000000	199.223493	0.830324	0.003164	0.001171	0.000504	0.000810	0.001295	675.000000	199.223493	0.828376	0.002391	-0.000470	0.000441	-0.000058	0.002279
1618	0.829398	0.003272	-0.000062	0.000370	0.001003	0.003020	677.000000	199.223493	0.829572	0.002609	-0.000152	0.000361	-0.000415	0.001860	678.000000	199.223493	0.830536	0.002315	0.000269	0.000404	0.000424	0.002363
1621	0.830035	0.001629	0.000212	0.000507	0.001833	0.002916	680.000000	199.223493	0.830941	0.001094	0.000137	0.000367	0.001051	0.002163	681.000000	199.223493	0.829224	0.001342	-0.000085	0.000165	0.001129	0.002662
1624	0.828530	0.000422	0.000731	0.000525	0.002961	0.002734	683.000000	199.223493	0.828916	0.001974	-0.000553	0.000381	0.002710	0.002089	684.000000	199.223493	0.829456	0.002161	-0.000319	0.000517	0.002884	0.002342
1627	0.828955	0.002187	-0.000272	0.000090	0.002199	0.001689	686.000000	199.223493	0.832658	0.002223	0.000923	0.000506	0.000453	0.002350	687.000000	199.223493	0.832157	0.000949	0.000009	0.000610	-0.000135	0.001714
1630	0.832369	0.001960	-0.000132	0.000592	-0.001611	0.001285	689.000000	199.223493	0.830498	0.001349	-0.000096	0.000291	0.001437	0.000211	690.000000	199.223493	0.828935	0.001599	0.000088	0.000594	0.002334	0.001160
1633	0.827681	0.002869	0.000135	0.000544	0.002469	0.000864	692.000000	199.223493	0.827412	0.002642	-0.000183	0.000946	0.000492	0.001421	693.000000	199.223493	0.826312	0.001126	0.001109	0.000278	-0.000145	0.001677
1636	0.829225	0.002020	-0.000456	0.000585	0.000820	0.002128	695.000000	199.223493	0.832658	0.002063	-0.000248	0.000881	0.005778	0.001350	696.000000	199.223493	0.833835	0.001136	0.000552	0.000484	0.004388	0.000798
1639	0.832870	0.001871	0.000140	0.000498	0.004852	0.001203	698.000000	199.223493	0.833314	0.003415	0.000956	0.000281	0.004987	0.001492	699.000000	199.223493	0.835127	0.003950	0.000652	0.000379	0.005469	0.001184
1642	0.833719	0.003809	0.000111	0.000564	0.005362	0.001640	701.000000	199.223493	0.833951	0.002658	0.000948	0.000640	0.006279	0.001554	702.000000	199.223493	0.832195	0.002146	0.000597	0.000292	0.005488	0.001559
1645	0.829321	0.003033	0.000667	0.000178	0.006028	0.002142	704.000000	199.223493	0.831327	0.003259	0.000142	0.000857	0.004986	0.002188	705.000000	199.223493	0.830729	0.003385	0.000768	0.000212	0.004292	0.002175
1648	0.831578	0.003066	-0.000513	0.000697	0.003713	0.002295	707.000000	199.223493	0.832234	0.001532	0.000325	0.000573	0.004061	0.002249	708.000000	199.223493	0.830459	0.003194	0.000168	0.000437	0.002170	0.002029
