# tiempo	mean_var1	std_var1	mean_var2	std_var2	mean_var3	std_var3	mean_var4	std_var4	mean_var5	std_var5	mean_var6	std_var6	mean_var7	std_var7	mean_var8	std_var8	mean_var9	std_var9	mean_var10	std_var10	mean_var11	std_var11
1573	0.857369	0.025958	0.123223	0.110111	-0.198833	0.176906	632.000000	199.223493	0.855903	0.023291	0.109960	0.098575	-0.197521	0.174660	633.000000	199.223493	0.853800	0.021744	0.090604	0.080703	-0.192930	0.171620
1576	0.853260	0.020613	0.079055	0.070630	-0.190403	0.167670	635.000000	199.223493	0.852701	0.018803	0.067442	0.060283	-0.185561	0.163328	636.000000	199.223493	0.851370	0.017522	0.052137	0.047485	-0.179273	0.159413
1579	0.847801	0.015906	0.041286	0.037627	-0.174460	0.154488	638.000000	199.223493	0.846817	0.015591	0.042471	0.037591	-0.167544	0.149656	639.000000	199.223493	0.845660	0.014714	0.034804	0.031203	-0.161150	0.144268
1582	0.843191	0.014629	0.026287	0.023846	-0.154938	0.138746	641.000000	199.223493	0.843712	0.012581	0.022058	0.020058	-0.150067	0.132620	642.000000	199.223493	0.840953	0.012703	0.020547	0.019791	-0.142159	0.127126
1585	0.841648	0.011059	0.015850	0.014317	-0.135272	0.120602	644.000000	199.223493	0.839275	0.011068	0.012455	0.010945	-0.126283	0.114915	645.000000	199.223493	0.840374	0.010084	0.010901	0.009661	-0.118962	0.108352
1588	0.841069	0.008393	0.007166	0.006677	-0.116233	0.101661	647.000000	199.223493	0.840143	0.008198	0.006608	0.005954	-0.109144	0.096175	648.000000	199.223493	0.840220	0.007501	0.005584	0.005300	-0.102662	0.091074
1591	0.842052	0.006275	0.002557	0.004081	-0.097097	0.086247	650.000000	199.223493	0.839294	0.004704	0.002870	0.003048	-0.091657	0.081255	651.000000	199.223493	0.835667	0.006315	0.002458	0.002391	-0.086941	0.075896
1594	0.834664	0.006363	0.001442	0.001228	-0.082668	0.071586	653.000000	199.223493	0.831539	0.005635	0.000955	0.000587	-0.078742	0.066399	654.000000	199.223493	0.834298	0.004412	0.001275	0.000391	-0.073476	0.061800
1597	0.833681	0.003031	0.000531	0.000416	-0.064844	0.058862	656.000000	199.223493	0.832542	0.003470	0.000974	0.000468	-0.060542	0.054241	657.000000	199.223493	0.829533	0.003155	-0.000542	0.000587	-0.055970	0.050167
1600	0.828106	0.002663	0.000841	0.000435	-0.050714	0.046201	659.000000	199.223493	0.828974	0.003203	-0.000067	0.000309	-0.046962	0.042513	660.000000	199.223493	0.828395	0.004028	-0.000669	0.000658	-0.044358	0.039943
1603	0.829880	0.003656	0.000681	0.000712	-0.042776	0.035648	662.000000	199.223493	0.830208	0.003772	-0.000256	0.000738	-0.039660	0.032812	663.000000	199.223493	0.832118	0.002762	0.000976	0.000754	-0.037153	0.030055
1606	0.831481	0.002089	0.001186	0.000189	-0.034799	0.029641	665.000000	199.223493	0.833700	0.002133	0.001570	0.000434	-0.032784	0.028368	666.000000	199.223493	0.829244	0.002563	0.000583	0.000467	-0.030228	0.026235
1609	0.828955	0.001360	0.001096	0.000572	-0.028762	0.024019	668.000000	199.223493	0.829263	0.001368	0.000469	0.000620	-0.024604	0.022228	669.000000	199.223493	0.828588	0.002282	0.000932	0.000592	-0.023042	0.020369
1612	0.828569	0.002606	-0.000373	0.000503	-0.020457	0.018762	671.000000	199.223493	0.829495	0.002233	-0.000120	0.000529	-0.017313	0.017057	672.000000	199.223493	0.830980	0.001373	0.000623	0.000459	-0.016185	0.015399
1615	0.833777	0.002088	-0.001290	0.000626	-0.013358	0.013567	674.000000	199.223493	0.834780	0.002981	-0.000252	0.000277	-0.010166	0.012649	675.000000	199.223493	0.836381	0.003649	-0.000598	0.000425	-0.009915	0.010771
1618	0.835031	0.004279	-0.001036	0.000581	-0.008768	0.009725	677.000000	199.223493	0.836092	0.003989	0.000183	0.000695	-0.007890	0.009298	678.000000	199.223493	0.835706	0.003732	0.000073	0.000565	-0.006530	0.008979
1621	0.832214	0.003946	0.000288	0.000702	-0.007427	0.007778	680.000000	199.223493	0.833816	0.003298	-0.000390	0.000712	-0.007089	0.007373	681.000000	199.223493	0.828704	0.004050	-0.000030	0.000663	-0.006858	0.006695
1624	0.829630	0.004380	-0.000146	0.000910	-0.006771	0.006214	683.000000	199.223493	0.830980	0.004667	-0.000017	0.000412	-0.006858	0.005441	684.000000	199.223493	0.829649	0.004227	-0.000830	0.000434	-0.005556	0.004974
1627	0.829977	0.005381	0.000150	0.000683	-0.005517	0.004975	686.000000	199.223493	0.826871	0.004858	0.000165	0.000587	-0.005295	0.004122	687.000000	199.223493	0.827334	0.004216	-0.000234	0.000379	-0.003260	0.004852
