# tiempo	mean_var1	std_var1	mean_var2	std_var2	mean_var3	std_var3	mean_var4	std_var4	mean_var5	std_var5	mean_var6	std_var6	mean_var7	std_var7	mean_var8	std_var8	mean_var9	std_var9	mean_var10	std_var10	mean_var11	std_var11
1573	0.861516	0.025319	0.124785	0.110146	-0.195428	0.177725	632.000000	199.223493	0.858546	0.022514	0.102416	0.090759	-0.192747	0.175105	633.000000	199.223493	0.855749	0.020351	0.084958	0.076007	-0.188156	0.171937
1576	0.851312	0.019644	0.075666	0.068255	-0.185205	0.167637	635.000000	199.223493	0.854360	0.017279	0.062910	0.058086	-0.180691	0.162802	636.000000	199.223493	0.856173	0.016548	0.055661	0.050333	-0.176128	0.158315
1579	0.853530	0.016426	0.053155	0.046938	-0.170650	0.153334	638.000000	199.223493	0.853414	0.015834	0.047894	0.042471	-0.165442	0.148189	639.000000	199.223493	0.851177	0.016400	0.042539	0.037247	-0.164072	0.143117
1582	0.851254	0.014928	0.045989	0.042042	-0.157427	0.139290	641.000000	199.223493	0.852103	0.015330	0.044706	0.040230	-0.153231	0.135029	642.000000	199.223493	0.850289	0.014495	0.032141	0.029320	-0.147878	0.129926
1585	0.849248	0.013983	0.030004	0.026347	-0.141676	0.126581	644.000000	199.223493	0.846373	0.014215	0.025839	0.023404	-0.137635	0.121823	645.000000	199.223493	0.845390	0.014540	0.025007	0.022653	-0.132118	0.117916
1588	0.842168	0.013842	0.022234	0.019237	-0.126755	0.112446	647.000000	199.223493	0.843885	0.012868	0.018541	0.015999	-0.121663	0.107957	648.000000	199.223493	0.842535	0.013163	0.021449	0.017466	-0.116869	0.103205
1591	0.839255	0.011042	0.017340	0.013038	-0.109732	0.098449	650.000000	199.223493	0.838426	0.010370	0.014366	0.011699	-0.103704	0.093894	651.000000	199.223493	0.837809	0.010015	0.012393	0.011208	-0.099267	0.089608
1594	0.840721	0.010148	0.010870	0.008524	-0.092525	0.085292	653.000000	199.223493	0.841956	0.009593	0.010327	0.009322	-0.086680	0.081903	654.000000	199.223493	0.840162	0.011291	0.007578	0.007193	-0.082899	0.078000
1597	0.842496	0.009824	0.006915	0.006467	-0.080671	0.073778	656.000000	199.223493	0.840683	0.009682	0.005225	0.005434	-0.075723	0.070618	657.000000	199.223493	0.839159	0.009699	0.005229	0.005179	-0.071981	0.067368
1600	0.839024	0.009470	0.007288	0.006046	-0.069994	0.063995	659.000000	199.223493	0.839718	0.009583	0.007741	0.006645	-0.065683	0.060886	660.000000	199.223493	0.840046	0.009645	0.007840	0.007260	-0.063783	0.058685
1603	0.838522	0.010369	0.006265	0.006221	-0.062008	0.055831	662.000000	199.223493	0.836150	0.008588	0.005594	0.005188	-0.058989	0.052897	663.000000	199.223493	0.838330	0.009380	0.005372	0.005448	-0.056694	0.050679
1606	0.839815	0.008461	0.003423	0.003377	-0.053627	0.047154	665.000000	199.223493	0.837076	0.007672	0.003265	0.002375	-0.051244	0.045134	666.000000	199.223493	0.838194	0.005877	0.001959	0.001524	-0.048158	0.042577
