# tiempo	mean_var1	std_var1	mean_var2	std_var2	mean_var3	std_var3	mean_var4	std_var4	mean_var5	std_var5	mean_var6	std_var6	mean_var7	std_var7	mean_var8	std_var8	mean_var9	std_var9	mean_var10	std_var10	mean_var11	std_var11
1573	0.858430	0.025204	0.120216	0.107032	-0.197811	0.176836	632.000000	199.223493	0.856539	0.022877	0.104576	0.093226	-0.193239	0.174557	633.000000	199.223493	0.851659	0.020857	0.083578	0.074209	-0.188378	0.171537
1576	0.851678	0.019313	0.075843	0.067724	-0.185127	0.166992	635.000000	199.223493	0.851775	0.018021	0.061568	0.053356	-0.179003	0.162341	636.000000	199.223493	0.849711	0.017600	0.050700	0.044407	-0.175859	0.157521
1579	0.848804	0.017209	0.045195	0.039879	-0.169791	0.153626	638.000000	199.223493	0.849440	0.017685	0.048072	0.043789	-0.165741	0.148475	639.000000	199.223493	0.847897	0.016872	0.050355	0.045864	-0.159819	0.144249
1582	0.849595	0.016083	0.047344	0.042539	-0.155363	0.140208	641.000000	199.223493	0.848650	0.016883	0.045848	0.041369	-0.150318	0.135852	642.000000	199.223493	0.848399	0.016295	0.044966	0.040471	-0.147975	0.131815
1585	0.849113	0.016407	0.043438	0.039604	-0.144782	0.127289	644.000000	199.223493	0.850656	0.015563	0.042095	0.037999	-0.140268	0.123432	645.000000	199.223493	0.847184	0.016377	0.039422	0.035602	-0.134356	0.119890
1588	0.842110	0.016862	0.035960	0.031947	-0.130449	0.116361	647.000000	199.223493	0.845467	0.015642	0.037654	0.033196	-0.126023	0.113105	648.000000	199.223493	0.846817	0.014411	0.035227	0.031973	-0.123736	0.108748
1591	0.845544	0.013246	0.029847	0.026024	-0.119570	0.104098	650.000000	199.223493	0.844271	0.011568	0.020898	0.018899	-0.114776	0.099971	651.000000	199.223493	0.843442	0.011115	0.016493	0.015472	-0.109143	0.094653
1594	0.841995	0.009718	0.012565	0.011818	-0.102845	0.090574	653.000000	199.223493	0.840876	0.010395	0.012653	0.011954	-0.098245	0.085789	654.000000	199.223493	0.841396	0.008829	0.009658	0.009308	-0.095013	0.081428
1597	0.842689	0.008533	0.006344	0.006592	-0.087529	0.076777	656.000000	199.223493	0.840336	0.007266	0.005277	0.005722	-0.083401	0.073502	657.000000	199.223493	0.841667	0.007851	0.005783	0.006155	-0.078694	0.069792
1600	0.840336	0.006264	0.005003	0.004804	-0.075560	0.065057	659.000000	199.223493	0.837732	0.007582	0.004090	0.003835	-0.069570	0.060862	660.000000	199.223493	0.838464	0.005914	0.003366	0.002939	-0.065933	0.058081
1603	0.841223	0.006217	0.003463	0.003207	-0.059693	0.055474	662.000000	199.223493	0.839506	0.006292	0.004130	0.003746	-0.056877	0.051631	663.000000	199.223493	0.840586	0.007558	0.004159	0.003997	-0.053366	0.048720
1606	0.843711	0.007158	0.004056	0.003828	-0.051109	0.045986	665.000000	199.223493	0.844329	0.007334	0.004786	0.003743	-0.046856	0.043321	666.000000	199.223493	0.842747	0.005859	0.001789	0.001684	-0.044136	0.041102
1609	0.842670	0.005854	0.001052	0.001734	-0.042940	0.038899	668.000000	199.223493	0.842187	0.005661	0.001478	0.002111	-0.040249	0.036926	669.000000	199.223493	0.843982	0.004415	0.001640	0.002074	-0.037153	0.034557
1612	0.844309	0.003971	0.001257	0.001382	-0.034192	0.031744	671.000000	199.223493	0.842882	0.004544	0.003022	0.002585	-0.033054	0.029899	672.000000	199.223493	0.839738	0.003799	0.001819	0.002343	-0.030469	0.027608
1615	0.838793	0.004708	0.002395	0.002192	-0.028434	0.026101	674.000000	199.223493	0.839217	0.003828	0.002367	0.001275	-0.025289	0.024431	675.000000	199.223493	0.840606	0.003216	0.001636	0.001681	-0.024363	0.022625
1618	0.841107	0.002442	0.003107	0.001192	-0.022965	0.021522	677.000000	199.223493	0.840760	0.002246	0.001727	0.001898	-0.022116	0.019432	678.000000	199.223493	0.840586	0.002321	0.000983	0.000584	-0.019965	0.018506
1621	0.841300	0.003081	0.000835	0.001478	-0.019194	0.017392	680.000000	199.223493	0.839545	0.002799	0.001133	0.001035	-0.018027	0.016353	681.000000	199.223493	0.840567	0.001799	0.001981	0.000892	-0.017323	0.013856
1624	0.839217	0.001993	0.001062	0.000720	-0.016349	0.012566	683.000000	199.223493	0.835089	0.001075	0.000415	0.000672	-0.015085	0.011548	684.000000	199.223493	0.838349	0.002262	0.000522	0.000994	-0.013976	0.010669
1627	0.836767	0.002785	-0.000146	0.000550	-0.012134	0.009923	686.000000	199.223493	0.835706	0.004156	-0.000496	0.000432	-0.012452	0.009440	687.000000	199.223493	0.834452	0.004530	0.000286	0.000609	-0.010831	0.008296
1630	0.831192	0.003672	0.000851	0.000239	-0.009925	0.007486	689.000000	199.223493	0.834336	0.003547	0.001351	0.000368	-0.009848	0.007664	690.000000	199.223493	0.832253	0.003151	-0.000296	0.000534	-0.007861	0.006418
1633	0.833989	0.002131	0.000386	0.000570	-0.005999	0.007328	692.000000	199.223493	0.832427	0.001991	-0.000173	0.000596	-0.006443	0.006605	693.000000	199.223493	0.833391	0.001977	0.000219	0.000462	-0.003694	0.006749
1636	0.832427	0.002499	-0.000610	0.000177	-0.004485	0.005722	695.000000	199.223493	0.830633	0.003196	-0.000295	0.000404	-0.001833	0.005697	696.000000	199.223493	0.831173	0.002128	0.000158	0.000824	-0.002035	0.005582
1639	0.834876	0.003483	-0.001177	0.000830	-0.002247	0.005201	698.000000	199.223493	0.834529	0.002659	-0.000186	0.000599	-0.002537	0.004637	699.000000	199.223493	0.834915	0.001624	0.000360	0.000532	-0.002865	0.004572
1642	0.834549	0.001462	-0.000596	0.000658	-0.003665	0.004171	701.000000	199.223493	0.833141	0.002341	-0.000794	0.000693	-0.002122	0.004630	702.000000	199.223493	0.834645	0.003310	-0.000592	0.000400	-0.002353	0.004441
